,cpuName,price,cpuMark,cpuValue,threadMark,threadValue,TDP,cores,socket,category
2207,Intel Core i3-2100 @ 3.10GHz,9295.2,1819,15.65,1426,12.27,65.0,2,LGA 1155,Desktop
2208,Intel Xeon X3220 @ 2.40GHz,5291.2,1819,27.5,942,14.24,105.0,4,LGA 775,Server
2211,AMD A8-6500T APU,4796.0,1816,30.29,1048,17.49,45.0,2,FM2,Desktop
2212,Intel Xeon E5345 @ 2.33GHz,3199.2,1814,45.36,947,23.68,80.0,4,LGA 771,Server
2213,Intel Core2 Quad Q8300 @ 2.50GHz,2744.0,1814,52.89,1059,30.87,95.0,4,LGA 775,Desktop
2217,AMD Athlon II X3 445,1216.8,1808,118.84,1282,84.28,95.0,3,AM3,Desktop
2219,AMD Phenom 9750 Quad-Core,3841.6,1804,37.56,942,19.63,125.0,4,AM2+,Desktop
2221,AMD A6-7470K,2817.6,1799,51.09,1576,44.74,65.0,1,FM2+,Desktop
2223,Intel Core2 Quad Q8200 @ 2.33GHz,5119.2,1797,28.08,1014,15.85,95.0,4,LGA 775,Desktop
2230,Intel Core i7-740QM @ 1.73GHz,7996.0,1782,17.83,1009,10.09,45.0,4,PGA988A,Laptop
2233,Intel Core2 Quad Q6600 @ 2.40GHz,7648.0,1778,18.6,958,10.02,105.0,4,LGA 775,Desktop
2235,AMD Phenom II X4 910,8000.0,1776,17.76,988,9.88,95.0,4,AM3,Desktop
2238,Intel Core i7-820QM @ 1.73GHz,10320.0,1768,13.71,1029,7.98,45.0,4,PGA988A,Laptop
2241,Intel Core2 Quad Q9100 @ 2.26GHz,30871.2,1764,4.57,930,2.41,45.0,4,PGA478,Laptop
2242,AMD Athlon II X3 450,2241.6,1763,62.91,1292,46.12,95.0,3,AM3,Desktop
2245,Intel Celeron G1840 @ 2.80GHz,5520.0,1758,25.48,1612,23.36,53.0,2,LGA 1150,Desktop
2246,Intel Atom C3538 @ 2.10GHz,6000.0,1756,23.41,669,8.92,15.0,4,BGA 1310,Server
2248,Intel Pentium G3260T @ 2.90GHz,3999.2,1755,35.1,1568,31.37,35.0,2,LGA 1150,Desktop
2249,Intel Core i5-540M @ 2.53GHz,3919.2,1752,35.76,1133,23.13,35.0,2,BGA 1288,Laptop
2253,Intel Core i3-4000M @ 2.40GHz,4648.8,1744,30.01,1269,21.83,37.0,2,PGA946,Laptop
2256,AMD Athlon 5350 APU,10320.0,1737,13.47,698,5.41,25.0,4,"AM1,FS1B",Desktop
2257,AMD Phenom 9600B Quad-Core,3196.0,1736,43.45,937,23.45,95.0,4,AM2+,Desktop
2261,AMD Opteron 2356,7196.0,1733,19.26,849,9.44,75.0,4,F (1207),Server
2264,Intel Pentium G3250T @ 2.80GHz,3999.2,1726,34.52,1568,31.38,35.0,2,LGA 1150,Desktop
2268,AMD Athlon II X3 440,1180.8,1718,116.42,1220,82.65,95.0,3,AM3,Desktop
2272,AMD Athlon II X4 600e,1599.2,1711,85.59,913,45.68,45.0,4,AM3,Desktop
2273,Intel Pentium G2030 @ 3.00GHz,2320.0,1711,59.01,1599,55.14,55.0,2,LGA 1155,Desktop
2274,Intel Celeron G1630 @ 2.80GHz,5599.2,1707,24.39,1553,22.19,55.0,2,LGA 1155,Desktop
2276,AMD Opteron 1356,7199.2,1703,18.92,918,10.2,75.0,4,AM2,Server
2279,AMD Phenom 9650 Quad-Core,3199.2,1699,42.5,924,23.1,95.0,4,AM2+,Desktop
2281,Intel Pentium 4425Y @ 1.70GHz,12880.0,1697,10.54,967,6.01,6.0,2,BGA 1515,Laptop
2282,Intel Core i3-560 @ 3.33GHz,2957.6,1696,45.87,1379,37.3,73.0,2,LGA 1156,Desktop
2283,Intel Atom x6211E @ 1.20GHz,2800.0,1695,48.43,1304,37.25,6.0,2,BGA 1493,Mobile/Embedded
2284,Intel Celeron 4305U @ 2.20GHz,8560.0,1694,15.83,1378,12.88,15.0,2,BGA 1528,Mobile/Embedded
2285,Intel Celeron 3965U @ 2.20GHz,8560.0,1692,15.82,1356,12.67,15.0,2,BGA 1356,Laptop
2291,Intel Pentium G2020 @ 2.90GHz,4000.0,1684,33.68,1566,31.33,55.0,2,LGA 1155,Desktop
2292,Intel Core i5-520M @ 2.40GHz,2241.6,1683,60.07,1083,38.67,35.0,2,BGA 1288,Laptop
2293,AMD Phenom 9850 Quad-Core,10399.2,1680,12.92,925,7.12,125.0,4,AM2+,Desktop
2295,Intel Xeon L5335 @ 2.00GHz,1503.2,1678,89.29,827,43.99,50.0,4,LGA 771,Server
2297,Intel Celeron 6305E @ 1.80GHz,8560.0,1675,15.66,1083,10.12,15.0,2,BGA 1449,Mobile/Embedded
2298,AMD Athlon II X3 435,12796.0,1670,10.44,1188,7.43,95.0,3,AM3,Desktop
2299,Intel Celeron G1820 @ 2.70GHz,4984.0,1670,26.81,1520,24.39,53.0,2,LGA 1150,Desktop
2302,Intel Xeon E5405 @ 2.00GHz,4720.0,1664,28.21,877,14.86,80.0,4,LGA 771,Server
2307,AMD PRO A6-9500E,5920.0,1662,22.46,1493,20.18,35.0,2,AM4,Desktop
2308,Intel Core i7-720QM @ 1.60GHz,7996.0,1661,16.62,965,9.65,45.0,4,PGA988A,Laptop
2317,AMD A6-3600 APU,1996.0,1649,66.1,896,35.92,65.0,4,FM1,Desktop
2319,Intel Core i3-4010U @ 1.70GHz,9996.0,1647,13.18,905,7.24,15.0,2,BGA 1168,Laptop
2320,AMD Phenom II N970 Quad-Core,11999.2,1647,10.98,902,6.01,35.0,4,S1,Laptop
2323,Intel Core i3-3120M @ 2.50GHz,10320.0,1641,12.72,1270,9.85,35.0,2,PGA988,Laptop
2326,AMD Phenom 9550 Quad-Core,2399.2,1636,54.56,873,29.11,95.0,4,AM2+,Desktop
2330,Intel Core i3-2100T @ 2.50GHz,3930.4,1634,33.26,1183,24.08,35.0,2,LGA 1155,Desktop
2333,AMD A8-4500M APU,5596.0,1624,23.22,887,12.68,35.0,2,FS1r2,Laptop
2335,AMD Opteron 1354,19040.8,1620,6.81,864,3.63,75.0,4,AM2,Server
2336,AMD Phenom 9600 Quad-Core,3196.0,1619,40.52,904,22.64,95.0,4,AM2+,Desktop
2340,Intel Celeron G1820T @ 2.40GHz,3360.0,1614,38.43,1396,33.24,35.0,2,LGA 1150,Desktop
2346,Intel Core i3-3110M @ 2.40GHz,5596.0,1609,23.0,1255,17.95,35.0,2,BGA 1023,Laptop
2352,Intel Pentium 4415Y @ 1.60GHz,12880.0,1600,9.94,899,5.59,6.0,2,BGA 1515,Laptop
2354,Intel Xeon X3210 @ 2.13GHz,14856.8,1599,8.61,875,4.71,105.0,4,LGA 775,Server
2358,Intel Core i3-550 @ 3.20GHz,1476.8,1588,86.01,1342,72.69,73.0,2,LGA 1156,Desktop
2359,AMD A6-7400K APU,5599.2,1587,22.68,1422,20.31,65.0,2,FM2+,Desktop
2361,Intel Celeron J4005 @ 2.00GHz,13500.0,1581,9.37,1119,6.63,10.0,2,BGA 1090,Desktop
2364,AMD Athlon II X3 425,4667.2,1576,27.02,1105,18.95,95.0,3,AM3,Desktop
2371,Intel Pentium G3220T @ 2.60GHz,5596.0,1564,22.36,1447,20.68,35.0,2,LGA 1150,Desktop
2372,AMD A4-6320 APU,5599.2,1563,22.34,1550,22.14,65.0,1,FM2,Desktop
2374,AMD Phenom II X3 B75,3996.0,1560,31.23,1161,23.23,95.0,3,AM3,Desktop
2375,Intel Celeron G1830 @ 2.80GHz,7120.0,1560,17.53,1513,17.0,53.0,2,LGA 1150,Desktop
2377,AMD Phenom II N930 Quad-Core,10396.0,1558,11.99,825,6.35,35.0,4,S1,Laptop
2378,AMD Athlon II X3 420e,9292.0,1557,13.4,1058,9.11,45.0,3,AM3,Desktop
2380,AMD Phenom II X3 710,13520.0,1554,9.2,1069,6.33,95.0,3,AM3,Desktop
2382,AMD PRO A4-8350B,2319.2,1552,53.53,1365,47.07,65.0,1,FM2+,Desktop
2384,Intel Xeon E5335 @ 2.00GHz,1421.6,1549,87.15,817,45.99,80.0,4,LGA 771,Server
2387,Intel Pentium G2010 @ 2.80GHz,1837.6,1541,67.08,1473,64.12,55.0,2,LGA 1155,Desktop
2388,AMD Phenom II X3 B73,6000.0,1538,20.5,1056,14.08,95.0,3,AM3,Desktop
2389,AMD A6-6420K APU,11999.2,1538,10.26,1557,10.38,65.0,2,FM2,Desktop
2391,Intel Pentium G2030T @ 2.60GHz,10440.0,1535,11.76,1441,11.04,35.0,2,LGA 1155,Desktop
2395,Intel Xeon E5504 @ 2.00GHz,5120.0,1529,23.89,838,13.1,80.0,4,LGA 1366,Server
2402,Intel Core i3-540 @ 3.07GHz,14396.0,1516,8.43,1264,7.03,73.0,2,LGA 1156,Desktop
2406,AMD Phenom 9500 Quad-Core,2399.2,1512,50.42,849,28.31,95.0,4,AM2+,Desktop
2407,AMD Opteron 2354,22815.2,1509,5.29,857,3.0,115.0,4,F (1207),Server
2408,Intel Celeron G1620T @ 2.40GHz,3360.0,1507,35.88,1321,31.44,35.0,2,LGA 1155,Desktop
2412,AMD Phenom 9350e Quad-Core,270565.6,1501,0.44,792,0.23,65.0,4,AM2+,Desktop
2415,Intel Pentium G870 @ 3.10GHz,6160.0,1495,19.41,1464,19.01,65.0,2,LGA 1155,Desktop
2417,AMD A4-7300 APU,1575.2,1492,75.77,1484,75.35,65.0,1,FM2,Desktop
2420,Intel Celeron 3867U @ 1.80GHz,8560.0,1488,13.9,1097,10.26,15.0,2,BGA 1356,Laptop
2421,Intel Core i3-2120T @ 2.60GHz,10711.2,1486,11.1,1144,8.54,35.0,2,LGA 1155,Desktop
2424,Intel Core2 Quad Q9000 @ 2.00GHz,31120.0,1480,3.8,879,2.26,45.0,4,PGA478,Laptop
2427,Intel Celeron G1610 @ 2.60GHz,2960.0,1478,39.95,1359,36.73,55.0,2,LGA 1155,Desktop
2433,AMD Phenom II X3 720,5156.0,1466,22.74,1081,16.77,95.0,3,AM3,Desktop
2435,Intel Celeron G1620 @ 2.70GHz,5621.6,1466,20.86,1407,20.02,55.0,2,LGA 1155,Desktop
2437,AMD Opteron 1352,10879.2,1464,10.76,849,6.24,75.0,4,AM2,Server
2438,AMD Phenom II N950 Quad-Core,9008.0,1460,12.97,847,7.52,35.0,4,S1,Laptop
2439,AMD A8-3510MX APU,6168.8,1457,18.9,826,10.71,45.0,4,FS1,Laptop
2441,AMD Phenom 9450e Quad-Core,8400.0,1455,13.86,841,8.01,65.0,4,AM2+,Desktop
2443,AMD A6-6400K APU,1584.8,1453,73.35,1429,72.14,65.0,1,FM2,Desktop
2445,Intel Xeon E5320 @ 1.86GHz,3100.0,1451,37.43,768,19.83,80.0,4,LGA 771,Server
2446,Intel Xeon X5272 @ 3.40GHz,11200.0,1451,10.36,1411,10.08,80.0,2,LGA 771,Server
2447,Intel Core i3-530 @ 2.93GHz,9215.2,1449,12.58,1176,10.21,73.0,2,LGA 1156,Desktop
2449,Intel Xeon E5240 @ 3.00GHz,7102.4,1448,16.32,1312,14.78,65.0,2,LGA 771,Server
2453,Intel Pentium 4410Y @ 1.50GHz,12880.0,1444,8.97,777,4.83,6.0,2,BGA 1515,Laptop
2454,AMD Athlon II X3 415e,6000.0,1441,19.21,1028,13.71,45.0,3,AM3,Desktop
2458,Intel Pentium G860 @ 3.00GHz,1834.4,1437,62.66,1389,60.57,65.0,2,LGA 1155,Desktop
2459,AMD A4-6300 APU,2319.2,1431,49.36,1419,48.96,65.0,1,FM2,Desktop
2462,Intel Xeon E3113 @ 3.00GHz,783.2,1429,145.96,1282,130.96,65.0,2,LGA 775,Server
2463,AMD A6-5400B APU,2315.2,1428,49.36,1380,47.69,65.0,1,FM2,Desktop
2464,AMD Phenom II X2 560,1918.4,1426,59.48,1450,60.49,80.0,2,AM2+/AM3,Unknown
2471,AMD Phenom 9150e Quad-Core,19800.0,1414,5.71,721,2.91,65.0,4,AM2+,Desktop
2472,Intel Celeron 5205U @ 1.90GHz,8560.0,1414,13.21,1094,10.22,15.0,2,BGA 1528,Laptop
2473,AMD Phenom II P960 Quad-Core,3129.6,1412,36.1,740,18.92,35.0,4,S1,Laptop
2474,Intel Atom C2558 @ 2.40GHz,10880.0,1410,10.37,358,2.63,15.0,4,BGA  1283,"Laptop, Mobile/Embedded"
2480,AMD Phenom II X2 565,13509.6,1405,8.32,1413,8.37,80.0,2,AM2+/AM3,Desktop
2482,Intel Pentium G6951 @ 2.80GHz,6000.0,1401,18.68,1137,15.16,73.0,2,LGA 1156,Desktop
2483,Intel Celeron N4000 @ 1.10GHz,8560.0,1399,13.08,1022,9.55,6.0,2,BGA 1090,Laptop
2484,AMD A8-3520M APU,4400.0,1398,25.42,831,15.11,35.0,4,FS1,Laptop
2485,AMD Phenom II X2 B59,3841.6,1392,28.98,1384,28.82,80.0,2,AM2+/AM3,Unknown
2486,AMD Phenom 8600B Triple-Core,1196.0,1390,92.96,957,64.03,95.0,3,AM2+,Desktop
2488,AMD Athlon 5150 APU,7908.8,1389,14.05,550,5.56,25.0,4,"AM1,FS1b",Desktop
2492,Intel Xeon L5310 @ 1.60GHz,9000.0,1385,12.31,662,5.88,50.0,4,LGA 771,Server
2494,AMD A6-3500 APU,5994.4,1382,18.44,958,12.79,65.0,3,FM1,Desktop
2496,Intel Pentium G850 @ 2.90GHz,8157.6,1373,13.47,1339,13.13,65.0,2,LGA 1155,Desktop
2497,Intel Pentium 2020M @ 2.40GHz,10720.0,1367,10.2,1268,9.46,35.0,2,PGA988,Laptop
2500,Intel Core2 Duo E8600 @ 3.33GHz,11996.0,1362,9.09,1413,9.42,65.0,2,LGA 775,Desktop
2502,AMD Athlon II X2 280,6151.2,1355,17.62,1462,19.02,65.0,2,AM3,Unknown
2504,Intel Pentium 2030M @ 2.50GHz,10720.0,1353,10.1,1157,8.63,35.0,2,PGA988,Laptop
2505,Intel Pentium G645 @ 2.90GHz,7468.0,1353,14.5,1303,13.96,65.0,2,LGA 1155,Desktop
2508,AMD A4-5300 APU,2156.0,1349,50.06,1348,50.02,65.0,2,FM2,Desktop
2514,Intel Celeron 4205U @ 1.80GHz,8560.0,1341,12.53,1057,9.87,15.0,2,BGA 1528,Laptop
2518,Intel Pentium G2020T @ 2.50GHz,3808.0,1337,28.08,1252,26.3,35.0,2,LGA 1155,Desktop
2519,Intel Xeon L5240 @ 3.00GHz,2512.0,1337,42.57,1299,41.36,40.0,2,LGA 771,Server
2521,Intel Core i3-2370M @ 2.40GHz,2959.2,1336,36.12,1059,28.63,35.0,2,PGA988B,Laptop
2522,Intel Celeron G1610T @ 2.30GHz,1198.4,1334,89.04,1211,80.82,35.0,2,LGA 1155,Desktop
2523,AMD Athlon II X3 405e,9032.0,1331,11.79,973,8.62,45.0,3,AM3,Desktop
2527,AMD Athlon X2 280,2679.2,1327,39.63,1258,37.55,65.0,2,AM3,Unknown
2528,Intel Core i5 750S @ 2.40GHz,16815.2,1326,6.31,1039,4.94,82.0,4,LGA 1156,Desktop
2531,AMD Athlon II X3 400e,2039.2,1320,51.8,908,35.62,45.0,3,AM3,Desktop
2534,Intel Atom x7-Z8700 @ 1.60GHz,5890.4,1318,17.9,646,8.78,4.0,4,BGA 1380,Laptop
2539,Intel Core i5-480M @ 2.67GHz,6448.0,1312,16.27,1167,14.48,35.0,2,BGA 1288,Laptop
2543,Intel Pentium 3550M @ 2.30GHz,17273.6,1309,6.06,1183,5.48,37.0,2,PGA946,Laptop
2544,AMD Phenom II X2 555,2956.8,1308,35.4,1315,35.58,80.0,2,AM2+/AM3,Desktop
2545,AMD A8-3500M APU,4796.0,1308,21.81,781,13.03,35.0,4,FS1,Laptop
2548,Intel Xeon E5310 @ 1.60GHz,3920.0,1306,26.65,640,13.05,80.0,4,LGA 771,Server
2557,Intel Pentium N3700 @ 1.60GHz,35582.4,1288,2.9,636,1.43,6.0,4,BGA 1170,Laptop
2560,AMD Phenom 9100e Quad-Core,2796.0,1279,36.58,734,20.99,65.0,4,AM2+,Desktop
2562,Intel Core i5-460M @ 2.53GHz,5196.0,1279,19.69,1137,17.5,35.0,2,BGA 1288,Laptop
2563,AMD A6-5400K APU,4161.6,1279,24.59,1271,24.43,65.0,1,FM2,Desktop
2566,AMD Sempron 240,2888.0,1278,35.39,1300,36.02,65.0,2,FM2,Desktop
2568,Intel Pentium G630 @ 2.70GHz,1199.2,1277,85.21,1225,81.69,65.0,2,LGA 1155,Desktop
2572,Intel Pentium G640 @ 2.80GHz,2400.0,1270,42.34,1290,43.0,65.0,2,LGA 1155,Desktop
2573,Intel Celeron G555 @ 2.70GHz,3199.2,1268,31.71,1275,31.87,65.0,2,LGA 1155,Desktop
2576,Intel Core i3-2350M @ 2.30GHz,2882.4,1263,35.04,1004,27.86,35.0,2,PGA988B,Laptop
2583,AMD Phenom II N850 Triple-Core,2000.0,1253,50.13,882,35.28,35.0,3,S1,Laptop
2588,Intel Xeon E3110 @ 3.00GHz,15996.0,1242,6.21,1331,6.66,65.0,2,LGA 775,Server
2589,Intel Core2 Duo E8435 @ 3.06GHz,4799.2,1240,20.67,1307,21.78,,2,Socket P,Laptop
2590,Intel Xeon X5260 @ 3.33GHz,1040.0,1238,95.2,1406,108.17,80.0,2,LGA 771,Server
2591,Intel Core2 Duo E8500 @ 3.16GHz,10396.0,1238,9.53,1324,10.19,65.0,2,LGA 775,Desktop
2592,Intel Atom x5-Z8500 @ 1.44GHz,5005.6,1238,19.78,628,10.04,4.0,4,UTFCBGA1380,Laptop
2595,Intel Core i3-2330M @ 2.20GHz,3196.0,1235,30.9,984,24.62,35.0,2,BGA 1023,Laptop
2596,AMD Athlon II X2 270,1599.2,1234,61.75,1353,67.67,65.0,2,AM3,Desktop
2598,AMD Athlon II X2 265,1240.0,1233,79.56,1344,86.7,65.0,2,AM3,Desktop
2599,Intel Core2 Duo T9900 @ 3.06GHz,31916.0,1232,3.09,1210,3.03,35.0,2,"BGA 479,PGA478",Laptop
2606,AMD A6-3400M APU,2319.2,1226,42.3,717,24.72,35.0,4,FS1,Laptop
2607,AMD A4-4020 APU,7280.0,1225,13.47,1238,13.61,65.0,2,FM2,Desktop
2609,AMD Phenom II X3 705e,12187.2,1222,8.02,962,6.31,65.0,3,AM3,Desktop
2610,Intel Core i3-2328M @ 2.20GHz,12008.8,1221,8.13,986,6.57,35.0,2,PGA988,Laptop
2611,AMD A4-5300B APU,2076.0,1220,47.02,1254,48.34,65.0,2,FM2,Desktop
2613,Intel Pentium N3540 @ 2.16GHz,20069.6,1216,4.85,714,2.85,7.5,4,BGA 1170,Laptop
2616,AMD Phenom 8450 Triple-Core,1359.2,1214,71.48,829,48.8,95.0,3,AM2+,Desktop
2619,Intel Core i5-430M @ 2.27GHz,10396.0,1211,9.32,997,7.67,35.0,2,BGA 1288,Laptop
2620,AMD Phenom 8600 Triple-Core,4239.2,1210,22.84,898,16.95,95.0,3,AM2+,Desktop
2621,Intel Core i5-450M @ 2.40GHz,2556.0,1208,37.8,1035,32.39,35.0,2,PGA988A,Laptop
2622,Intel Pentium G620 @ 2.60GHz,959.2,1207,100.66,1203,100.3,65.0,2,LGA 1155,Desktop
2623,AMD Phenom 8650 Triple-Core,1520.0,1205,63.42,854,44.94,95.0,3,AM2+,Desktop
2625,Intel Celeron G550 @ 2.60GHz,3920.0,1200,24.49,1192,24.32,65.0,2,LGA 1155,Desktop
2627,AMD A6-3410MX APU,319.2,1199,300.6,722,180.84,45.0,4,FS1,Laptop
2628,AMD Opteron 2222,1520.0,1198,63.08,618,32.53,95.0,2,F (1207),Server
2633,Intel Core i3-2310M @ 2.10GHz,3196.0,1193,29.85,943,23.59,35.0,2,BGA 1023,Laptop
2635,AMD A4-4000 APU,1597.6,1190,59.59,1195,59.82,65.0,1,FM2,Desktop
2638,Intel Core i3-3217U @ 1.80GHz,15920.0,1188,5.97,907,4.56,17.0,2,BGA 1023,Laptop
2642,Intel Celeron 3965Y @ 1.50GHz,8560.0,1179,11.02,889,8.31,6.0,2,BGA 1515,Laptop
2643,Intel Core i3-390M @ 2.67GHz,3116.0,1178,30.25,1096,28.15,35.0,2,BGA 1288,Laptop
2644,AMD Athlon II X2 B28,3121.6,1177,30.18,1347,34.52,65.0,2,AM3,Desktop
2645,Intel Pentium G840 @ 2.80GHz,6762.4,1175,13.9,1252,14.81,65.0,2,LGA 1155,Desktop
2651,AMD Phenom II X2 550,3352.8,1169,27.89,1240,29.58,80.0,2,AM2+/AM3,Desktop
2652,Intel Core2 Duo E8400 @ 3.00GHz,11200.0,1169,8.35,1242,8.87,65.0,2,LGA 775,Desktop
2653,Intel Pentium E6800 @ 3.33GHz,1996.0,1166,46.74,1358,54.45,65.0,2,LGA 775,Desktop
2655,Intel Pentium E5800 @ 3.20GHz,11196.0,1165,8.33,1314,9.39,65.0,2,LGA 775,Desktop
2656,Intel Core i3-380M @ 2.53GHz,3996.0,1165,23.32,1018,20.37,35.0,2,PGA988A,Laptop
2660,AMD Athlon II X2 255,1004.0,1163,92.67,1249,99.53,65.0,2,AM3,Desktop
2661,Intel Core2 Duo T9800 @ 2.93GHz,33911.2,1163,2.74,1220,2.88,35.0,2,BGA 479,Laptop
2662,Intel Core2 Duo E7600 @ 3.06GHz,9596.0,1161,9.67,1275,10.63,65.0,2,LGA 775,Desktop
2664,AMD A6-5350M APU,2649.6,1160,35.01,1213,36.63,35.0,2,FS1r2,Laptop
2665,AMD Phenom II P920 Quad-Core,5200.0,1160,17.85,598,9.2,25.0,4,S1,Laptop
2668,AMD Athlon II X2 250e,6138.4,1155,15.05,1201,15.65,45.0,2,AM3,Desktop
2670,Intel Celeron N3160 @ 1.60GHz,27920.0,1154,3.31,567,1.62,6.0,4,BGA 1170,Laptop
2671,AMD Sempron 3850 APU,3806.4,1153,24.22,448,9.42,25.0,4,"AM1,FS1b",Desktop
2673,Intel Pentium E6700 @ 3.20GHz,11215.2,1152,8.22,1314,9.37,65.0,2,LGA 775,Desktop
2674,AMD Phenom II X2 B55,3036.0,1151,30.34,1244,32.79,80.0,2,AM3,Desktop
2681,Intel Xeon W3505 @ 2.53GHz,1188.8,1142,76.86,1104,74.29,130.0,2,LGA 1366,Server
2682,Intel Core2 Duo E6850 @ 3.00GHz,4096.0,1140,22.26,1196,23.36,65.0,2,LGA 775,Desktop
2683,Intel Pentium G640T @ 2.40GHz,6790.4,1139,13.42,1102,12.98,35.0,2,LGA 1155,Desktop
2684,Intel Core2 Extreme X9100 @ 3.06GHz,68080.0,1139,1.34,1175,1.38,44.0,2,PGA478,Laptop
2690,Intel Core2 Extreme X9000 @ 2.80GHz,32796.0,1135,2.77,1103,2.69,44.0,2,PGA478,Laptop
2696,Intel Celeron N3350 @ 1.10GHz,22039.2,1126,4.09,809,2.94,6.0,2,BGA 1296,Laptop
2697,Intel Core i3-370M @ 2.40GHz,2396.8,1126,37.57,977,32.6,35.0,2,PGA988A,Laptop
2703,Intel Xeon L5320 @ 1.86GHz,5599.2,1118,15.97,281,4.02,50.0,4,LGA 771,Server
2710,AMD Athlon II X2 260,3199.2,1113,27.83,1249,31.24,65.0,2,AM3,Desktop
2711,Intel Celeron G540 @ 2.50GHz,882.4,1110,100.59,1131,102.53,65.0,2,LGA 1155,Desktop
2713,AMD Phenom II X2 545,3518.4,1107,25.18,1083,24.63,80.0,2,AM2+/AM3,Desktop
2714,AMD Opteron 2220,83060.8,1106,1.07,553,0.53,95.0,2,F (1207),Server
2715,AMD Athlon II X2 210e,2279.2,1105,38.79,1105,38.8,45.0,2,AM3,Desktop
2719,Intel Celeron G530 @ 2.40GHz,3919.2,1096,22.36,1078,22.01,65.0,2,LGA 1155,Desktop
2721,AMD A4-3420 APU,10880.0,1094,8.04,1150,8.46,65.0,2,FM1,Desktop
2723,Intel Core2 Extreme X7900 @ 2.80GHz,12796.0,1093,6.83,1087,6.8,44.0,2,PGA478,Laptop
2724,Intel Celeron 2002E @ 1.50GHz,6880.0,1091,12.68,871,10.12,25.0,2,BGA 1364,Laptop
2725,Intel Pentium B970 @ 2.30GHz,4079.2,1091,21.4,1055,20.7,35.0,2,PGA988,Laptop
2727,Intel Core2 Duo E7500 @ 2.93GHz,7970.4,1090,10.94,1198,12.03,65.0,2,LGA 775,Desktop
2730,Intel Celeron G1101 @ 2.27GHz,1581.6,1086,54.92,929,46.99,73.0,2,LGA 1156,Desktop
2733,AMD Phenom 8250e Triple-Core,3759.2,1084,23.08,729,15.52,65.0,3,940,Desktop
2734,AMD Athlon II X2 250,3116.0,1083,27.8,1155,29.66,65.0,2,AM3,Desktop
2737,AMD Athlon II X2 245e,1599.2,1075,53.77,1145,57.28,45.0,2,AM3,Desktop
2740,AMD Athlon II X2 B24,1928.0,1073,44.53,1206,50.03,65.0,2,AM3,Desktop
2741,Intel Pentium E6500 @ 2.93GHz,7656.8,1073,11.21,1210,12.64,65.0,2,LGA 775,Desktop
2742,Intel Pentium E6600 @ 3.06GHz,1359.2,1072,63.11,1156,68.06,65.0,2,LGA 775,Desktop
2749,AMD A4-3400 APU,1600.0,1066,53.31,1075,53.73,65.0,2,FM1,Desktop
2752,Intel Pentium B980 @ 2.40GHz,2864.8,1064,29.71,1050,29.33,35.0,2,PGA988,Laptop
2753,Intel Core2 Duo E8200 @ 2.66GHz,6079.2,1064,14.0,1126,14.82,65.0,2,LGA 775,Desktop
2756,Intel Core i3-350M @ 2.27GHz,2320.0,1062,36.63,879,30.3,35.0,2,BGA 1288,Laptop
2757,Intel Pentium G6950 @ 2.80GHz,6320.0,1061,13.43,1035,13.1,73.0,2,LGA 1156,Desktop
2762,Intel Celeron G530T @ 2.00GHz,1359.2,1056,62.15,962,56.61,35.0,2,LGA 1155,Desktop
2764,Intel Xeon W3503 @ 2.40GHz,799.2,1052,105.35,1015,101.64,130.0,2,LGA 1366,Server
2765,Intel Core2 Duo T9600 @ 2.80GHz,4396.0,1051,19.13,1121,20.39,35.0,2,BGA 479,Laptop
2766,AMD Athlon II X2 235e,7800.0,1049,10.75,1107,11.35,45.0,2,AM3,Desktop
2771,AMD Athlon 7850 Dual-Core,7999.2,1037,10.37,1110,11.1,95.0,2,AM2+,Desktop
2773,AMD Athlon II X2 B22,2076.0,1036,39.93,1124,43.31,65.0,2,AM3,Desktop
2774,AMD Opteron 2218,7712.8,1036,10.75,491,5.09,95.0,2,F (1207),Server
2777,Intel Core2 Duo E8300 @ 2.83GHz,1599.2,1034,51.71,1169,58.47,65.0,2,LGA 775,Desktop
2778,Intel Pentium G630T @ 2.30GHz,6725.6,1029,12.24,1040,12.37,35.0,2,LGA 1155,Desktop
2782,AMD A6-4400M APU,2160.0,1026,38.0,1043,38.63,35.0,1,FS1r2,Laptop
2783,Intel Xeon 3070 @ 2.66GHz,2292.0,1025,35.78,1024,35.74,65.0,2,LGA 775,Server
2784,AMD Athlon II X2 220,4796.0,1024,17.07,1105,18.43,65.0,2,AM3,Desktop
2785,AMD Phenom II N660 Dual-Core,7120.0,1024,11.51,1070,12.02,35.0,2,S1,Laptop
2786,AMD Athlon II X2 245,1004.0,1022,81.47,1113,88.69,65.0,2,AM2+/AM3,Desktop
2788,Intel Pentium 2127U @ 1.90GHz,10720.0,1018,7.59,941,7.02,17.0,2,BGA 1023,Laptop
2790,Intel Pentium E5700 @ 3.00GHz,3999.2,1017,20.35,1169,23.39,65.0,2,LGA 775,Desktop
2792,Intel Core2 Duo T9500 @ 2.60GHz,8641.6,1016,9.4,1090,10.09,35.0,2,BGA 479,Laptop
2798,Intel Core2 Duo E6700 @ 2.66GHz,2399.2,1012,33.76,1055,35.17,65.0,2,LGA 775,Desktop
2799,Intel Core2 Duo P9600 @ 2.53GHz,7920.0,1012,10.22,1075,10.86,25.0,2,PGA478,Laptop
