,cpuName,price,cpuMark,cpuValue,threadMark,threadValue,TDP,cores,socket,category
1860,Intel Pentium G3470 @ 3.60GHz,5190.4,2428,37.43,2089,32.19,53.0,2,LGA 1150,Desktop
1861,Intel Core i7-2620M @ 2.70GHz,10829.6,2427,17.93,1470,10.86,35.0,2,BGA 1023,Laptop
1862,Intel Core i7-860S @ 2.53GHz,12800.0,2424,15.15,1314,8.21,82.0,4,LGA 1156,Desktop
1870,Intel Core2 Quad Q9650 @ 3.00GHz,4399.2,2411,43.84,1292,23.49,95.0,4,LGA 775,Desktop
1873,Intel Celeron G4920 @ 3.20GHz,17018.4,2406,11.31,1965,9.24,54.0,2,LGA 1151-2,Desktop
1874,Intel Atom C3558 @ 2.20GHz,6880.0,2405,27.96,849,9.87,16.0,4,BGA 1310,Server
1876,Intel Celeron G4900T @ 2.90GHz,6236.0,2403,30.82,1789,22.96,35.0,2,LGA 1151-2,Desktop
1877,Intel Core i3-3250 @ 3.50GHz,6632.0,2401,28.96,1830,22.08,55.0,2,LGA 1155,Desktop
1879,Intel Xeon X5450 @ 3.00GHz,3996.8,2400,48.04,1267,25.36,120.0,4,LGA 771,Server
1886,AMD Opteron 4170 HE,3199.2,2382,59.56,476,11.9,65.0,6,C32,Server
1891,Intel Celeron G3950 @ 3.00GHz,11440.0,2369,16.56,1811,12.66,51.0,2,LGA 1151,Desktop
1895,Intel Core i5-2390T @ 2.70GHz,7992.0,2364,23.66,1394,13.95,35.0,2,LGA 1155,Desktop
1896,Intel Pentium 6405U @ 2.40GHz,12880.0,2363,14.68,1417,8.8,15.0,2,BGA 1528,Laptop
1897,Intel Xeon E5-2403 @ 1.80GHz,28080.0,2363,6.73,829,2.36,80.0,4,LGA  1356,Server
1899,Intel Xeon E5-2603 @ 1.80GHz,5756.8,2362,32.83,868,12.06,80.0,4,LGA  2011,Server
1900,AMD Phenom II X4 840,1942.4,2355,96.99,1309,53.9,95.0,4,AM2+/AM3,Desktop
1902,Intel Core i5-660 @ 3.33GHz,5520.0,2352,34.08,1435,20.79,73.0,2,LGA 1156,Desktop
1903,Intel Core i3-6102E @ 1.90GHz,18000.0,2349,10.44,1068,4.75,25.0,2,BGA 1440,Laptop
1905,AMD Opteron 4130,18396.0,2347,10.21,1149,5.0,95.0,4,F (1207),Server
1907,Intel Xeon E5440 @ 2.83GHz,3039.2,2340,61.61,1240,32.65,80.0,4,LGA 771,Server
1908,AMD Athlon II X4 651 Quad-Core,11996.0,2338,15.59,1296,8.64,100.0,4,FM1,Unknown
1910,AMD A8-3870K APU,5443.2,2336,34.34,1236,18.17,100.0,4,FM1,Desktop
1912,Intel Xeon X5365 @ 3.00GHz,5039.2,2331,37.01,1223,19.41,150.0,4,LGA 771,Server
1913,AMD Phenom II X4 B95,4961.6,2329,37.56,1238,19.96,95.0,4,AM3,Desktop
1914,Intel Xeon E5606 @ 2.13GHz,17360.0,2326,10.72,941,4.34,80.0,4,LGA 1366,Server
1915,Intel Xeon X3360 @ 2.83GHz,3199.2,2325,58.14,1241,31.04,95.0,4,LGA 775,Server
