,driveName,type,diskCapacity,diskMark,rank,price,driveValue,priceperGB,testDate
1978,Samsung SSD 860 PRO 512G,SSD,476.9,4447,1979,19369.6,18.37,0.51,2018
1981,T-FORCE 500GB,SSD,465.8,4444,1982,5599.2,63.5,0.15,2018
1982,SanDisk SDSSDA-1T00,SSD,931.5,4444,1983,6399.2,55.56,0.09,2020
1983,Samsung SSD 850 EVO 500GB,SSD,465.8,4444,1984,7999.2,44.44,0.21,2014
1985,Intel SSD DC S3700 800GB,SSD,745.2,4441,1986,48000.0,7.4,0.81,2014
1986,Crucial CT1050MX300SSD1,SSD,978.1,4439,1987,24756.0,14.35,0.32,2016
1987,WDC WDS500G2B0A,SSD,465.8,4439,1988,5912.8,60.06,0.16,2017
1988,CT240BX300SSD1,SSD,212.4,4439,1989,2399.2,148.0,0.14,2019
1993,Micron M600 MTFDDAK512MBF,SSD,476.9,4426,1994,5199.2,68.1,0.14,2015
1995,Crucial CT1050MX300SSD4,SSD,978.1,4425,1996,23999.2,14.75,0.31,2016
1997,Intel SSD 540s 480GB M.2,SSD,447.1,4422,1998,6400.0,55.27,0.18,2016
2006,WDC WDS100T1B0B,SSD,931.5,4405,2007,25500.0,13.82,0.34,2016
2008,Intel SSD 540s 240GB M.2,SSD,223.6,4401,2009,9600.0,36.68,0.54,2016
2017,Intel SSD 540s 180GB M.2,SSD,167.7,4388,2018,7537.6,46.57,0.56,2017
2021,WDC WDS500G1B0A,SSD,465.8,4382,2022,5920.0,59.22,0.16,2016
2023,Intel SSD 540s 256GB M.2,SSD,238.5,4378,2024,14391.2,24.34,0.75,2017
2025,WDC WDS100T1B0A,SSD,931.5,4377,2026,14398.4,24.32,0.19,2016
2031,Intel SSD DC S3610 400GB,SSD,372.5,4375,2032,18364.0,19.06,0.62,2017
2037,Samsung SSD 850 EVO mSATA 500GB,SSD,465.8,4368,2038,23920.0,14.61,0.64,2015
2038,PLEXTOR PX-256M6Pro,SSD,238.5,4366,2039,6799.2,51.37,0.36,2014
2044,Samsung SSD 840 EVO 750GB,SSD,698.6,4363,2045,43999.2,7.93,0.79,2013
2047,Intel SSD DC S3500 600GB,SSD,558.9,4362,2048,9064.0,38.5,0.2,2013
2048,Samsung SSD 860 EVO 500GB,SSD,465.8,4362,2049,5200.0,67.1,0.14,2018
2050,Crucial CT525MX300SSD4,SSD,489.0,4358,2051,15999.2,21.79,0.41,2016
2051,PLEXTOR PX-AG128M6e,SSD,119.2,4357,2052,12559.2,27.75,1.32,2014
2054,Corsair Force,SSD,223.6,4353,2055,39887.2,8.73,2.23,2013
2056,HP SSD S700 Pro 512GB,SSD,476.9,4349,2057,6960.0,49.99,0.18,2018
2057,Intel SSD DC S3510 480GB,SSD,447.1,4349,2058,31996.0,10.87,0.89,2014
2059,SanDisk SD7SN6S-256G,SSD,238.5,4344,2060,6656.8,52.21,0.35,2015
2064,ADATA SU750,SSD,238.5,4342,2065,5119.2,67.85,0.27,2019
2072,Intel SSD DC S3610 800GB,SSD,745.2,4336,2073,34399.2,10.08,0.58,2016
2075,CT250MX500SSD1,SSD,232.9,4331,2076,3624.8,95.58,0.19,2018
2076,Transcend TS512GSSD370S,SSD,476.9,4330,2077,14720.0,23.53,0.39,2015
