,name,formFactor,power,fan,pin,GPUpin,price,link
55,Aerocool KCAS PLUS GOLD 650W ARGB,"ATX, 12V v2.52",650 Вт,120мм,24+2x(4+4) pin,2х(6+2) pin,7490,https://www.citilink.ru/product/blok-pitaniya-aerocool-kcas-plus-gold-650w-rgb-650vt-120mm-retail-acpg-1440793/
56,Zalman ZM650-GVII,"ATX, 12V v2.31",650 Вт,120мм,20+4 pin,2х(6+2) pin,6110,https://www.citilink.ru/product/blok-pitaniya-zalman-atx-650w-zm650-gvii-80-bronze-20-4pin-apfc-135mm-1775083/
57,DeepCool DQ750-M-V2L,"ATX, 12V v2.31",750 Вт,120мм,20+4 pin,4х(6+2) pin,9590,https://www.citilink.ru/product/blok-pitaniya-deepcool-atx-750w-dq750-m-v2l-80-gold-20-4pin-apfc-120mm-1781757/
58,Aerocool AERO BRONZE,ATX,650 Вт,120мм,24+4+4 pin,2х(6+2) pin,5190,https://www.citilink.ru/product/blok-pitaniya-aerocool-aero-bronze-650vt-120mm-chernyi-retail-aero-bro-1207085/
59,DeepCool DQ650-M-V2L,"ATX, 12V v2.31",650 Вт,120мм,24+4+4 pin,2х(6+2) pin,8490,https://www.citilink.ru/product/blok-pitaniya-deepcool-atx-650w-dq650-m-v2l-80-gold-20-4pin-apfc-120mm-1781768/
60,Aerocool KCAS PLUS 1200GM V2,"ATX, 12V v2.4",1200 Вт,140мм,24+8+4+4 pin,8х(6+2) pin,13360,https://www.citilink.ru/product/blok-pitaniya-aerocool-atx-1200w-kcas-plus-1200gm-v2-24-8-4-4pin-apfc-1699845/
61,Thermaltake Toughpower Grand RGB,"ATX, 12V v2.4",850 Вт,140мм,24+4+4 pin,6х(6+2) pin,15070,https://www.citilink.ru/product/blok-pitaniya-thermaltake-toughpower-grand-rgb-850vt-140mm-chernyi-ret-428834/
62,DeepCool PF400,ATX,400 Вт,120мм,24+2x(4+4) pin,2х(6+2) pin,2850,https://www.citilink.ru/product/blok-pitaniya-deepcool-atx-400w-pf400-80-plus-white-20-4pin-apfc-120mm-1781891/
63,DeepCool DA500,"ATX, 12V v2.3",500 Вт,120мм,24+4+4 pin,6+2 pin,4720,https://www.citilink.ru/product/blok-pitaniya-deepcool-atx-500w-da500-80-bronze-20-4pin-apfc-120mm-fan-1781852/
64,DeepCool DQ850-M-V2L,"ATX, 12V v2.4",850 Вт,120мм,20+4 pin,4х(6+2) pin,10790,https://www.citilink.ru/product/blok-pitaniya-deepcool-atx-850w-dq850-m-v2l-80-gold-20-4pin-apfc-120mm-1781719/
65,Thermaltake Smart RGB 500,"ATX, 12V v2.3",500 Вт,120мм,24+4+4 pin,2х(6+2) pin,5090,https://www.citilink.ru/product/blok-pitaniya-thermaltake-smart-rgb-500-500vt-120mm-chernyi-retail-ps-480509/
66,GIGABYTE AORUS GP-AP750GM,"ATX, 12V v2.31",750 Вт,135мм,24+2x(4+4) pin,4х(6+2) pin,11310,https://www.citilink.ru/product/blok-pitaniya-gigabyte-atx-750w-aorus-gp-ap750gm-80-gold-24-4-4pin-apf-1422467/
67,Thermaltake Smart RGB 600,"ATX, 12V v2.3",600 Вт,120мм,24+4+4 pin,2х(6+2) pin,6530,https://www.citilink.ru/product/blok-pitaniya-thermaltake-smart-rgb-600-600vt-120mm-chernyi-retail-ps-482447/
68,GIGABYTE GP-P450B,"ATX, 12V v2.31",450 Вт,120мм,24+4+4 pin,2х(6+2) pin,4740,https://www.citilink.ru/product/blok-pitaniya-gigabyte-atx-450w-gp-p450b-80-bronze-24-4-4pin-apfc-120m-1422333/
69,Fractal Design ION 850,"ATX, 12V v2.52",850 Вт,140мм,24+2x(4+4) pin,6х(6+2) pin,13200,https://www.citilink.ru/product/blok-pitaniya-fractal-design-atx-850w-ion-850-80-gold-24-4-4pin-apfc-1-1806958/
70,Accord ACC-TFX350,TFX,350 Вт,80мм,24+4 pin,?,2370,https://www.citilink.ru/product/blok-pitaniya-accord-tfx-350w-acc-tfx350-24-4pin-80mm-fan-3xsata-1805353/
71,LinkWorld LW2-350W (LPE) case,ATX,350 Вт,80мм,24+4 pin,отсутствует,1220,https://www.citilink.ru/product/blok-pitaniya-linkworld-lw2-350w-lpe-case-350vt-80mm-retail-lw2-350wlp-80255/
72,Aerocool CYLON 400,"ATX, 12V v2.4",400 Вт,120мм,24+4+4 pin,6+2 pin,4060,https://www.citilink.ru/product/blok-pitaniya-aerocool-cylon-400-400vt-120mm-chernyi-retail-1111162/
73,DeepCool PF350,ATX,350 Вт,120мм,24+4+4 pin,2х(6+2) pin,2870,https://www.citilink.ru/product/blok-pitaniya-deepcool-atx-350w-pf350-80-plus-white-20-4pin-apfc-120mm-1781952/
74,DeepCool DE600 V2,ATX,450 Вт,120мм,24+4+4 pin,6+2 pin,2990,https://www.citilink.ru/product/blok-pitaniya-deepcool-atx-450w-de600-v2-80-plus-white-20-4pin-apfc-12-1781953/
75,DeepCool PK600D,ATX,600 Вт,120мм,20+4 pin,2х(6+2) pin,4790,https://www.citilink.ru/product/blok-pitaniya-deepcool-atx-600w-pk600d-80-bronze-20-4pin-apfc-120mm-fa-1781823/
76,CHIEFTEC VALUE APB-500B8,"ATX, 12V v2.3",500 Вт,120мм,24+4 pin,6+2 pin,2990,https://www.citilink.ru/product/blok-pitaniya-chieftech-atx-500w-i-arena-apb-500b8-20-4pin-apfc-120mm-1123737/
77,Cooler Master MWE Bronze V2,"ATX, 12V v2.52",750 Вт,120мм,24+4+4 pin,4х(6+2) pin,8160,https://www.citilink.ru/product/blok-pitaniya-cooler-master-mwe-bronze-750w-v2-750vt-120mm-chernyi-ret-1446125/
78,Aerocool AERO WHITE,"ATX, 12V v2.4",550 Вт,120мм,24+4+4 pin,2х(6+2) pin,4110,https://www.citilink.ru/product/blok-pitaniya-aerocool-aero-white-550vt-120mm-chernyi-retail-aero-whit-1207088/
79,Cooler Master MWE White 650W V2,"ATX, 12V v2.52",650 Вт,120мм,24+4+4 pin,4х(6+2) pin,6740,https://www.citilink.ru/product/blok-pitaniya-cooler-master-mwe-white-650w-v2-650vt-120mm-retail-mpe-6-1446109/
80,Zalman ZM600-TXII V2,"ATX, 12V v2.3",600 Вт,120мм,20+4 pin,2х(6+2) pin,4670,https://www.citilink.ru/product/blok-pitaniya-zalman-atx-600w-zm600-txii-v2-80-20-4pin-apfc-120mm-fan-1775094/
81,DeepCool PK550D,ATX,550 Вт,120мм,20+4 pin,2х(6+2) pin,4520,https://www.citilink.ru/product/blok-pitaniya-deepcool-atx-550w-pk550d-80-bronze-20-4pin-apfc-120mm-fa-1781825/
82,GIGABYTE GP-UD1000GM PG5 Gen.5,"ATX, 12V v3.0",1000 Вт,120мм,24+4+4 pin,4х(6+2) + 16 pin,20280,https://www.citilink.ru/product/blok-pitaniya-gigabyte-atx-1000w-gp-ud1000gm-pg5-80-gold-24-4-4pin-apf-1777109/
83,DeepCool DQ750-M-V2L WH,"ATX, 12V v2.4",750 Вт,120мм,24+4+4 pin,5х(6+2) pin,9690,https://www.citilink.ru/product/blok-pitaniya-deepcool-atx-750w-dq750-m-v2l-wh-80-gold-20-4pin-apfc-12-1781760/
84,Zalman ZM1000-EBTII,"ATX, 12V v2.31",1000 Вт,135мм,24+6+2x(4+4) pin,6х(6+2) pin,18370,https://www.citilink.ru/product/blok-pitaniya-zalman-atx-1000w-zm1000-ebtii-80-gold-20-4pin-apfc-135mm-1774483/
85,DeepCool PK700D,ATX,700 Вт,120мм,24+2x(4+4) pin,4х(6+2) pin,5760,https://www.citilink.ru/product/blok-pitaniya-deepcool-atx-700w-pk700d-80-bronze-20-4pin-apfc-120mm-fa-1781818/
86,DeepCool PQ650M,ATX,650 Вт,120мм,24+2x(4+4) pin,3х(6+2) pin,13150,https://www.citilink.ru/product/blok-pitaniya-deepcool-atx-650w-pq650m-80-gold-20-4pin-apfc-140mm-fan-1781702/
87,Accord ACC-500W-12,ATX,500 Вт,120мм,24+4+4 pin,6+2 pin,3030,https://www.citilink.ru/product/blok-pitaniya-accord-acc-500w-12-500vt-120mm-acc-500-12-877954/
88,Cooler Master MWE White V2,"ATX, 12V v2.52",500 Вт,120мм,24+4+4 pin,2х(6+2) pin,6180,https://www.citilink.ru/product/blok-pitaniya-cooler-master-mwe-white-500w-v2-500vt-120mm-retail-mpe-5-1446111/
89,DeepCool PK650D,ATX,650 Вт,120мм,24+2x(4+4) pin,4х(6+2) pin,4890,https://www.citilink.ru/product/blok-pitaniya-deepcool-atx-650w-pk650d-80-bronze-20-4pin-apfc-120mm-fa-1781821/
90,DeepCool PM750D,ATX,750 Вт,120мм,20+4 pin,3х(6+2) pin,7710,https://www.citilink.ru/product/blok-pitaniya-deepcool-atx-750w-pm750d-80-gold-20-4pin-apfc-120mm-fan-1781793/
91,Aerocool AERO BRONZE,ATX,550 Вт,120мм,24+4+4 pin,2х(6+2) pin,4870,https://www.citilink.ru/product/blok-pitaniya-aerocool-aero-bronze-550vt-120mm-chernyi-retail-aero-bro-1207083/
92,DeepCool PK750D,ATX,750 Вт,120мм,24+2x(4+4) pin,4х(6+2) pin,5850,https://www.citilink.ru/product/blok-pitaniya-deepcool-atx-750w-pk750d-80-bronze-20-4pin-apfc-120mm-fa-1781815/
93,Zalman ZM600-XEII,"ATX, 12V v2.3",600 Вт,120мм,20+4 pin,2х(6+2) pin,4250,https://www.citilink.ru/product/blok-pitaniya-zalman-atx-600w-zm600-xeii-20-4pin-apfc-120mm-fan-4xsata-1775087/
94,Fractal Design ION 750,"ATX, 12V v2.52",750 Вт,140мм,24+4+4 pin,2х(6+2) pin,10690,https://www.citilink.ru/product/blok-pitaniya-fractal-design-atx-750w-ion-750-80-gold-24-4-4pin-apfc-1-1806881/
95,Cooler Master MWE Bronze 650W V2,"ATX, 12V v2.52",650 Вт,120мм,24+4+4 pin,4х(6+2) pin,9010,https://www.citilink.ru/product/blok-pitaniya-cooler-master-mwe-bronze-650w-v2-650vt-120mm-chernyi-ret-1446161/
96,CHIEFTEC CORE BBS-700S-Bulk,"ATX, 12V v2.3",700 Вт,120мм,24+4+4 pin,4х(6+2) pin,6290,https://www.citilink.ru/product/blok-pitaniya-chieftech-atx-700w-core-bbs-700s-bulk-80-gold-24-4-4pin-1737358/
97,HIPER HPM-450,"ATX, 12V v2.31",450 Вт,120мм,24+4+4 pin,6+2 pin,2030,https://www.citilink.ru/product/blok-pitaniya-hiper-atx-450w-hpm-450-24-4-4pin-ppfc-120mm-fan-3xsata-1807077/
98,Hipro (HIPO DIGI) HPE400W,"ATX, 12V v2.2",400 Вт,120мм,24+4+4 pin,6 pin,3250,https://www.citilink.ru/product/blok-pitaniya-hipro-hipo-digi-hpe400w-400vt-120mm-45715/
99,Zalman ZM550-GVII,"ATX, 12V v2.31",550 Вт,120мм,20+4 pin,6+2 pin,5450,https://www.citilink.ru/product/blok-pitaniya-zalman-atx-650w-zm550-gvii-80-bronze-20-4pin-apfc-120mm-1775084/
100,DeepCool PM850D,ATX,850 Вт,120мм,24+2x(4+4) pin,3х(6+2) pin,8290,https://www.citilink.ru/product/blok-pitaniya-deepcool-atx-850w-pm850d-80-gold-20-4pin-apfc-120mm-fan-1781780/
101,LinkWorld LW-650B,"ATX, 12V v2.52",650 Вт,120мм,24+4+4 pin,2х(6+2) pin,4830,https://www.citilink.ru/product/blok-pitaniya-linkworld-atx-650w-lw-650b-80-24-8-4-4pin-apfc-120mm-fan-1484264/
102,Thermaltake Smart BX1 RGB,"ATX, 12V v2.4",750 Вт,120мм,24+4+4 pin,4х(6+2) pin,7740,https://www.citilink.ru/product/blok-pitaniya-thermaltake-smart-bx1-rgb-750vt-120mm-chernyi-retail-ps-1119144/
103,DeepCool PK500D,ATX,500 Вт,120мм,24+2x(4+4) pin,2х(6+2) pin,4320,https://www.citilink.ru/product/blok-pitaniya-deepcool-atx-500w-pk500d-80-bronze-20-4pin-apfc-120mm-fa-1781829/
104,DeepCool PK800D,ATX,800 Вт,120мм,24+2x(4+4) pin,4х(6+2) pin,5890,https://www.citilink.ru/product/blok-pitaniya-deepcool-atx-800w-pk800d-80-bronze-20-4pin-apfc-120mm-fa-1781809/
105,Cooler Master MWE White 600W V2,"ATX, 12V v2.52",600 Вт,120мм,24+4+4 pin,4х(6+2) pin,6650,https://www.citilink.ru/product/blok-pitaniya-cooler-master-mwe-white-600w-v2-600vt-120mm-retail-mpe-6-1446133/
106,GIGABYTE GP-UD1000GM,"ATX, 12V v2.31",1000 Вт,120мм,24+4+4 pin,6х(6+2) pin,16410,https://www.citilink.ru/product/blok-pitaniya-gigabyte-atx-1000w-gp-ud1000gm-80-gold-24-4-4pin-apfc-12-1777103/
107,CHIEFTEC CORE BBS-700S,"ATX, 12V v2.3",700 Вт,120мм,24+4+4 pin,4х(6+2) pin,6490,https://www.citilink.ru/product/blok-pitaniya-chieftech-atx-700w-core-bbs-700s-80-gold-24-4-4pin-apfc-1683866/
108,Zalman ZM500-TXII V2,"ATX, 12V v2.3",500 Вт,120мм,20+4 pin,2х(6+2) pin,5550,https://www.citilink.ru/product/blok-pitaniya-zalman-atx-500w-zm500-txii-v2-80-20-4pin-apfc-120mm-fan-1775097/
109,Accord ACC-P300W,ATX,300 Вт,80мм,24+4 pin,?,1090,https://www.citilink.ru/product/blok-pitaniya-accord-acc-p300w-300vt-80mm-877945/
110,Cooler Master MWE Bronze V2,"ATX, 12V v2.52",700 Вт,120мм,24+4+4 pin,4х(6+2) pin,8690,https://www.citilink.ru/product/blok-pitaniya-cooler-master-mwe-bronze-700w-v2-700vt-120mm-retail-mpe-1446119/
111,GIGABYTE GP-P550B,"ATX, 12V v2.31",550 Вт,120мм,24+4+4 pin,2х(6+2) pin,5010,https://www.citilink.ru/product/blok-pitaniya-gigabyte-atx-550w-gp-p550b-80-bronze-24-4-4pin-apfc-120m-1422395/
112,Fractal Design ION+2 860,"ATX, 12V v2.52",850 Вт,140мм,24+2x(4+4) pin,6х(6+2) pin,17680,https://www.citilink.ru/product/blok-pitaniya-fractal-design-atx-850w-ion-2-860-80-platinum-24-4-4pin-1806996/
113,Zalman ZM500-LXII,"ATX, 12V v2.3",500 Вт,120мм,24+4+4 pin,2х(6+2) pin,4270,https://www.citilink.ru/product/blok-pitaniya-zalman-atx-500w-zm500-lxii-24-4-4pin-apfc-120mm-fan-6xsa-1775088/
114,Thermaltake Toughpower GF1 ARGB,ATX,850 Вт,140мм,24+4+4 pin,6х(6+2) pin,14000,https://www.citilink.ru/product/blok-pitaniya-thermaltake-toughpower-gf1-argb-850vt-140mm-chernyi-reta-1162059/
115,Cooler Master V Gold V2,"ATX, 12V v2.52",850 Вт,135мм,24+8+4+4 pin,6х(6+2) pin,15700,https://www.citilink.ru/product/blok-pitaniya-cooler-master-v-gold-v2-850vt-120mm-retail-mpy-850v-afba-1468768/
116,Aerocool AERO WHITE,"ATX, 12V v2.4",500 Вт,120мм,24+4+4 pin,2х(6+2) pin,4820,https://www.citilink.ru/product/blok-pitaniya-aerocool-aero-white-500vt-120mm-chernyi-retail-aero-whit-1207077/
117,GIGABYTE GP-AP1200PM,"ATX, 12V v2.31",1200 Вт,140мм,24+2x(4+4) pin,10х(6+2) pin,33250,https://www.citilink.ru/product/blok-pitaniya-gigabyte-atx-1200w-gp-ap1200pm-80-platinum-24-4-4pin-apf-1624953/
118,DeepCool DE500 V2,ATX,350 Вт,120мм,24+4+4 pin,6+2 pin,2590,https://www.citilink.ru/product/blok-pitaniya-deepcool-atx-350w-de500-v2-20-4pin-apfc-120mm-fan-6xsata-1781956/
119,Thermaltake Litepower RGB 650,"ATX, 12V v2.3",650 Вт,120мм,24+4+4 pin,2х(6+2) pin,6130,https://www.citilink.ru/product/blok-pitaniya-thermaltake-litepower-rgb-650-650vt-120mm-chernyi-retail-1156191/
120,Zalman ZM1200-EBTII,"ATX, 12V v2.31",1200 Вт,135мм,20+4 pin,8х(6+2) pin,16650,https://www.citilink.ru/product/blok-pitaniya-zalman-atx-1200w-zm1200-ebtii-80-gold-20-4pin-apfc-135mm-1774654/
121,Cooler Master MWE Gold V2 Full Modular 750W,"ATX, 12V v2.52",750 Вт,120мм,24+8+4+4 pin,4х(6+2) pin,12390,https://www.citilink.ru/product/blok-pitaniya-cooler-master-mwe-gold-v2-full-modular-750w-750vt-120mm-1466352/
122,Cooler Master V Gold V2 White Case,"ATX, 12V v2.52",850 Вт,135мм,24+8+4+4 pin,6х(6+2) pin,14290,https://www.citilink.ru/product/blok-pitaniya-cooler-master-v-gold-v2-white-case-850vt-120mm-retail-mp-1468770/
123,HIPER HPB-750FMK2,"ATX, 12V v2.31",750 Вт,120мм,24+4+4 pin,6х(6+2) pin,8400,https://www.citilink.ru/product/blok-pitaniya-hiper-atx-750w-hpb-750fmk2-80-gold-24-4-4pin-apfc-120mm-1808449/
124,Accord ACC-600W-12,ATX,600 Вт,120мм,24+4+4 pin,6+2 pin,3380,https://www.citilink.ru/product/blok-pitaniya-accord-acc-600w-12-600vt-120mm-acc-600-12-877956/
125,Cooler Master Elite V4,"ATX, 12V v2.41",600 Вт,120мм,24+4+4 pin,2х(6+2) pin,5290,https://www.citilink.ru/product/blok-pitaniya-cooler-master-elite-v4-600w-600vt-120mm-retail-mpe-6001-1446131/
126,CHIEFTEC CORE BBS-600S,"ATX, 12V v2.3",600 Вт,120мм,24+4+4 pin,2х(6+2) pin,6190,https://www.citilink.ru/product/blok-pitaniya-chieftech-atx-600w-core-bbs-600s-80-gold-24-4-4pin-apfc-1683869/
127,Thermaltake SMART BM2,"ATX, 12V v2.4",650 Вт,140мм,24+4+4 pin,4х(6+2) pin,6690,https://www.citilink.ru/product/blok-pitaniya-thermaltake-atx-650w-smart-bm2-80-bronze-24-4-4pin-apfc-1684337/
128,CHIEFTEC Polaris PPS-650FC,"ATX, 12V v2.4",650 Вт,120мм,24+2x(4+4) pin,4х(6+2) pin,8790,https://www.citilink.ru/product/blok-pitaniya-chieftech-atx-650w-polaris-pps-650fc-80-gold-24-2x-4-4-p-1683883/
129,Cooler Master MWE Bronze V2 550W,"ATX, 12V v2.52",550 Вт,120мм,24+4+4 pin,2х(6+2) pin,8030,https://www.citilink.ru/product/blok-pitaniya-cooler-master-mwe-bronze-v2-550w-550vt-120mm-retail-mpe-1446106/
130,Cooler Master MWE White V2,"ATX, 12V v2.52",450 Вт,120мм,24+4+4 pin,2х(6+2) pin,6120,https://www.citilink.ru/product/blok-pitaniya-cooler-master-mwe-white-v2-450vt-120mm-retail-mpe-4501-a-1468739/
131,Formula Formula-AP450-80,ATX,450 Вт,120мм,24+4+4 pin,2х(6+2) pin,3810,https://www.citilink.ru/product/blok-pitaniya-formula-formula-ap450-80-450vt-120mm-chernyi-retail-1179243/
132,Thermaltake SMART PRO RGB,"ATX, 12V v2.4",750 Вт,140мм,24+4+4 pin,4х(6+2) pin,12940,https://www.citilink.ru/product/blok-pitaniya-thermaltake-smart-pro-rgb-750vt-140mm-chernyi-retail-ps-1029550/
133,CHIEFTEC CORE BBS-600S-Bulk,"ATX, 12V v2.3",600 Вт,120мм,24+4+4 pin,2х(6+2) pin,7100,https://www.citilink.ru/product/blok-pitaniya-chieftech-atx-600w-core-bbs-600s-bulk-80-gold-24-4-4pin-1737347/
134,QDION Q-DION QD500,"ATX, 12V v2.3",500 Вт,120мм,24+4+4 pin,6+2 pin,2710,https://www.citilink.ru/product/blok-pitaniya-fsp-q-dion-qd500-500vt-120mm-qd-500-405112/
135,CHIEFTEC A-90 GDP-750C,"ATX, 12V v2.3",750 Вт,140мм,24+4+4 pin,4х(6+2) pin,6910,https://www.citilink.ru/product/blok-pitaniya-chieftech-atx-750w-a-90-gdp-750c-24-4-4pin-apfc-140mm-fa-1683867/
136,Formula MONZA VL-850APB-85,"ATX, 12V v2.31",850 Вт,120мм,24+2x(4+4) pin,4х(6+2) pin,8680,https://www.citilink.ru/product/blok-pitaniya-formula-monza-vl-850apb-85-850vt-120mm-retail-1431323/
137,Cooler Master MWE Bronze V2,"ATX, 12V v2.52",600 Вт,120мм,24+4+4 pin,2х(6+2) pin,7190,https://www.citilink.ru/product/blok-pitaniya-cooler-master-mwe-bronze-600w-v2-600vt-120mm-retail-mpe-1446117/
138,QDION Q-DION QD550,ATX,550 Вт,120мм,24+4+4 pin,6+2 pin,3730,https://www.citilink.ru/product/blok-pitaniya-fsp-q-dion-qd550-550vt-120mm-qd-550-80-480432/
139,LinkWorld LW-550B,"ATX, 12V v2.52",550 Вт,120мм,24+4+4 pin,2х(6+2) pin,4480,https://www.citilink.ru/product/blok-pitaniya-linkworld-atx-550w-lw-550b-80-24-8-4-4pin-apfc-120mm-fan-1472256/
140,HIPER HPB-800FMK2,"ATX, 12V v2.31",800 Вт,120мм,24+4+4 pin,6х(6+2) pin,9440,https://www.citilink.ru/product/blok-pitaniya-hiper-atx-800w-hpb-800fmk2-80-gold-24-4-4pin-apfc-120mm-1808450/
141,Accord ACC-450W-80BR,"ATX, 12V v2.2",450 Вт,120мм,24+4+4 pin,6+2 pin,3280,https://www.citilink.ru/product/blok-pitaniya-accord-acc-450w-80br-450vt-120mm-chernyi-retail-405085/
142,Thermaltake Litepower RGB 550,"ATX, 12V v2.3",550 Вт,120мм,24+4+4 pin,2х(6+2) pin,5290,https://www.citilink.ru/product/blok-pitaniya-thermaltake-litepower-rgb-550-550vt-120mm-chernyi-retail-1141152/
143,QDION Q-DION QD350,ATX,350 Вт,120мм,24+4+4 pin,отсутствует,2530,https://www.citilink.ru/product/blok-pitaniya-fsp-q-dion-qd350-350vt-120mm-qd-350-405103/
144,QDION Q-DION QD400,"ATX, 12V v2.3",400 Вт,120мм,24+4+4 pin,6 pin,2850,https://www.citilink.ru/product/blok-pitaniya-fsp-q-dion-qd400-400vt-120mm-qd-400-405108/
145,CHIEFTEC iArena GPC-500S,"ATX, 12V v2.4",500 Вт,120мм,24+4+4 pin,6+2 pin,4580,https://www.citilink.ru/product/blok-pitaniya-chieftech-atx-500w-iarena-gpc-500s-24-4-4pin-apfc-120mm-1737338/
146,HIPER HPC-650,"ATX, 12V v2.31",650 Вт,120мм,24+4+4 pin,2х(6+2) pin,4240,https://www.citilink.ru/product/blok-pitaniya-hiper-atx-650w-hpc-650-80-24-4-4pin-apfc-120mm-fan-4xsat-1808437/
147,Zalman ZM400-XEII,"ATX, 12V v2.3",400 Вт,120мм,20+4 pin,2х(6+2) pin,4070,https://www.citilink.ru/product/blok-pitaniya-zalman-atx-400w-zm400-xeii-20-4pin-apfc-120mm-fan-4xsata-1775085/
148,CHIEFTEC Silicon SLC-750C,"ATX, 12V v2.3",750 Вт,140мм,24+4+4 pin,4х(6+2) pin,9600,https://www.citilink.ru/product/blok-pitaniya-chieftech-atx-750w-silicon-slc-750c-80-bronze-24-4-4pin-1737335/
149,Thermaltake Toughpower Grand RGB Sync,"ATX, 12V v2.4",850 Вт,140мм,24+2x(4+4) pin,6х(6+2) pin,15900,https://www.citilink.ru/product/blok-pitaniya-thermaltake-toughpower-grand-rgb-sync-850vt-140mm-cherny-1186869/
150,Thermaltake Toughpower iRGB Plus,"ATX, 12V v2.4",1200 Вт,140мм,24+4+4 pin,8х(6+2) pin,27440,https://www.citilink.ru/product/blok-pitaniya-thermaltake-toughpower-irgb-plus-1200vt-140mm-chernyi-re-492775/
151,Formula Formula-AP500-80,"ATX, 12V v2.31",500 Вт,120мм,24+4+4 pin,2х(6+2) pin,4210,https://www.citilink.ru/product/blok-pitaniya-formula-formula-ap500-80-500vt-120mm-chernyi-retail-1179247/
152,CHIEFTEC Compact CSN-650C,"SFX, 12V v2.3",650 Вт,80мм,24+4+4 pin,2х(6+2) pin,6950,https://www.citilink.ru/product/blok-pitaniya-chieftech-atx-650w-compact-csn-650c-80-gold-24-4-4pin-ap-1737339/
153,CHIEFTEC Task TPS-700S,"ATX, 12V v2.3",700 Вт,120мм,24+4+4 pin,2х(6+2) pin,6520,https://www.citilink.ru/product/blok-pitaniya-chieftech-atx-700w-task-tps-700s-80-bronze-24-4-4pin-apf-1738005/
154,Zalman ZM1000-ARX,"ATX, 12V v2.3",1000 Вт,135мм,24+4+4 pin,6х(6+2) pin,17640,https://www.citilink.ru/product/blok-pitaniya-zalman-atx-1000w-zm1000-arx-80-platinum-20-4pin-apfc-135-1774411/
155,CHIEFTEC iArena GPA-650S,"ATX, 12V v2.3",650 Вт,120мм,24+4+4 pin,2х(6+2) pin,3990,https://www.citilink.ru/product/blok-pitaniya-chieftech-atx-650w-iarena-gpa-650s-24-4-4pin-apfc-120mm-1737318/
156,Zalman ZM800-EBTII,"ATX, 12V v2.31",800 Вт,135мм,20+4 pin,5х(6+2) pin,15580,https://www.citilink.ru/product/blok-pitaniya-zalman-atx-800w-zm800-ebtii-80-gold-20-4pin-apfc-135mm-f-1774657/
157,CHIEFTEC Task TPS-600S,"ATX, 12V v2.3",600 Вт,120мм,24+4+4 pin,2х(6+2) pin,6080,https://www.citilink.ru/product/blok-pitaniya-chieftech-atx-600w-task-tps-600s-80-bronze-24-4-4pin-apf-1738004/
158,Hipro (HIPO DIGI) HPE350W,"ATX, 12V v2.2",350 Вт,120мм,24+4 pin,6 pin,2920,https://www.citilink.ru/product/blok-pitaniya-hipro-hipo-digi-hpe350w-350vt-120mm-45714/
159,Thermaltake Toughpower Grand RGB,"ATX, 12V v2.4",750 Вт,140мм,24+4+4 pin,4х(6+2) pin,13020,https://www.citilink.ru/product/blok-pitaniya-thermaltake-toughpower-grand-rgb-750vt-140mm-chernyi-ret-1029555/
160,Accord ACC-500W-80BR,"ATX, 12V v2.31",500 Вт,120мм,24+4+4 pin,6+2 pin,4760,https://www.citilink.ru/product/blok-pitaniya-accord-acc-500w-80br-500vt-120mm-chernyi-retail-405088/
161,HIPER HPB-650FMK2,"ATX, 12V v2.31",650 Вт,120мм,24+4+4 pin,4х(6+2) pin,8050,https://www.citilink.ru/product/blok-pitaniya-hiper-atx-650w-hpb-650fmk2-80-gold-24-4-4pin-apfc-120mm-1808446/
162,QDION Q-DION QD500-PNR 80+,"ATX, 12V v2.31",500 Вт,120мм,24+4+4 pin,2х(6+2) pin,3820,https://www.citilink.ru/product/blok-pitaniya-fsp-q-dion-qd500-pnr-80-500vt-120mm-qd-500-pnr-80-1131924/
163,CHIEFTEC SMART GPS-650A8,"ATX, 12V v2.3",650 Вт,120мм,24+4+4 pin,2х(6+2) pin,5370,https://www.citilink.ru/product/blok-pitaniya-chieftech-atx-650w-smart-gps-650a8-24-4-4pin-apfc-120mm-1737342/
164,Hipro (HIPO DIGI) HPE450W,"ATX, 12V v2.2",450 Вт,120мм,24+4+4 pin,6 pin + (6+2) pin,3750,https://www.citilink.ru/product/blok-pitaniya-hipro-hipo-digi-hpe450w-450vt-120mm-576553/
165,Cooler Master MWE 500 Bronze V2,"ATX, 12V v2.52",500 Вт,120мм,24+4+4 pin,2х(6+2) pin,7460,https://www.citilink.ru/product/blok-pitaniya-cooler-master-atx-500w-mwe-bronze-v2-500w-80-bronze-24-4-1484167/
166,Zalman ZM1200-TMX,"ATX, 12V v2.3",1200 Вт,120мм,24+4+4 pin,6х(6+2) pin,19160,https://www.citilink.ru/product/blok-pitaniya-zalman-atx-1200w-zm1200-arx-80-gold-20-4pin-apfc-120mm-f-1831287/
167,Cooler Master Elite V4,"ATX, 12V v2.41",500 Вт,120мм,24+4+4 pin,2х(6+2) pin,4590,https://www.citilink.ru/product/blok-pitaniya-cooler-master-elite-v4-500w-500vt-120mm-retail-mpe-5001-1446101/
168,Thermaltake Smart BX1,"ATX, 12V v2.3",750 Вт,120мм,24+4+4 pin,4х(6+2) pin,6750,https://www.citilink.ru/product/blok-pitaniya-thermaltake-smart-bx1-750vt-120mm-chernyi-retail-ps-spd-1088662/
