,name,formFactor,power,fan,pin,GPUpin,price,link
311,GIGABYTE GP-P1000GM,"ATX, 12V v2.31",1000 Вт,120мм,24+4+4 pin,6х(6+2) pin,15550,https://www.citilink.ru/product/blok-pitaniya-gigabyte-atx-1000w-gp-p1000gm-80-gold-24-4-4pin-apfc-120-1496751/
312,LinkWorld LW-750B,"ATX, 12V v2.52",750 Вт,120мм,24+2x(4+4) pin,4х(6+2) pin,5750,https://www.citilink.ru/product/blok-pitaniya-linkworld-atx-750w-lw-750b-80-24-8-4-4pin-apfc-120mm-fan-1484269/
313,Corsair RM750X,"ATX, 12V v2.4",750 Вт,135мм,24+2x(4+4) pin,4х(6+2) pin,10990,https://www.citilink.ru/product/blok-pitaniya-corsair-rm750x-750vt-140mm-chernyi-retail-cp-9020179-eu-1445081/
314,Thermaltake Toughpower iRGB Plus,"ATX, 12V v2.4",1000 Вт,140мм,24+8+4+4 pin,6х(6+2) pin,18800,https://www.citilink.ru/product/blok-pitaniya-thermaltake-atx-1000w-toughpower-irgb-plus-80-gold-24-4-1408282/
315,Thermaltake Toughpower Grand DPS G,"ATX, 12V v2.4",650 Вт,140мм,24+4+4 pin,4х(6+2) pin,9990,https://www.citilink.ru/product/blok-pitaniya-thermaltake-atx-650w-toughpower-grand-dps-g-80-gold-24-4-1399647/
316,Aerocool KCAS PLUS 1000GM,"ATX, 12V v2.4",1000 Вт,140мм,24+8+4+4 pin,6х(6+2) pin,11430,https://www.citilink.ru/product/blok-pitaniya-aerocool-atx-1000w-kcas-1000gm-80-bronze-24-4-4pin-apfc-1203590/
317,Seasonic PRIME TX-650,"ATX, 12V",650 Вт,135мм,24+4+4 pin,4х(6+2) pin,27690,https://www.citilink.ru/product/blok-pitaniya-seasonic-prime-tx-650-650vt-135mm-chernyi-retail-tx-650-1199727/
318,CHIEFTEC SMART SFX-450BS,"SFX, 12V v2.3",450 Вт,80мм,20+4 pin,6+2 pin,4740,https://www.citilink.ru/product/blok-pitaniya-chieftech-atx-450w-smart-sfx-450bs-20-4pin-apfc-80mm-fan-1128257/
319,Thermaltake Toughpower GX1 RGB,"ATX, 12V v2.3",500 Вт,120мм,24+4+4 pin,2х(6+2) pin,9810,https://www.citilink.ru/product/blok-pitaniya-thermaltake-toughpower-gx1-rgb-500vt-120mm-chernyi-retai-1112444/
320,Seasonic SSR-600TL,"ATX, 12V",600 Вт,?,24+4+4 pin,3х(6+2) pin,32710,https://www.citilink.ru/product/blok-pitaniya-seasonic-ssr-600tl-600vt-chernyi-retail-1082010/
321,Hipro (HIPO DIGI) HPA-500W,"ATX, 12V v2.31",500 Вт,120мм,24+4+4 pin,6 pin + (6+2) pin,4290,https://www.citilink.ru/product/blok-pitaniya-hipro-hipo-digi-hpa-500w-500vt-120mm-hpa500-737090/
322,LinkWorld LW6-600,ATX,600 Вт,120мм,24+4 pin,отсутствует,2810,https://www.citilink.ru/product/blok-pitaniya-linkworld-lw6-600-600vt-120mm-retail-lw6-600w-511004/
323,Thermaltake SMART PRO RGB,"ATX, 12V v2.4",850 Вт,140мм,24+4+4 pin,4х(6+2) pin,13490,https://www.citilink.ru/product/blok-pitaniya-thermaltake-smart-pro-rgb-850vt-140mm-chernyi-retail-ps-428839/
324,Hipro (HIPO DIGI) HPP-600W,"ATX, 12V v2.3",600 Вт,120мм,24+4+4 pin,2х(6+2) pin,4570,https://www.citilink.ru/product/blok-pitaniya-hipro-hipo-digi-hpp-600w-600vt-120mm-seryi-hpp600-408455/
325,Hipro (HIPO DIGI) HPP-500W,"ATX, 12V v2.3",500 Вт,120мм,24+4+4 pin,6+2 pin,3950,https://www.citilink.ru/product/blok-pitaniya-hipro-hipo-digi-hpp-500w-500vt-120mm-seryi-hpp500-408454/
326,Thermaltake TR2 S,"ATX, 12V v2.3",650 Вт,120мм,24+4+4 pin,2х(6+2) pin,6350,https://www.citilink.ru/product/blok-pitaniya-thermaltake-tr2-s-650vt-120mm-chernyi-retail-ps-trs-0650-365400/
327,Thermaltake TR2 S,"ATX, 12V v2.3",550 Вт,120мм,24+4+4 pin,2х(6+2) pin,5130,https://www.citilink.ru/product/blok-pitaniya-thermaltake-tr2-s-550vt-120mm-chernyi-retail-ps-trs-0550-365398/
328,LinkWorld LW2-500W case,ATX,500 Вт,80мм,24+4 pin,отсутствует,2730,https://www.citilink.ru/product/blok-pitaniya-linkworld-lw2-500w-case-500vt-80mm-retail-80351/
329,LinkWorld LW2-450W,ATX,450 Вт,80мм,24+4 pin,отсутствует,2860,https://www.citilink.ru/product/blok-pitaniya-linkworld-lw2-450w-450vt-80mm-retail-78790/
330,CHIEFTEC A-80 CTG-750C,"ATX, 12V v2.3",750 Вт,120мм,24+4+4 pin,2х(6+2) pin,?,https://www.citilink.ru/product/blok-pitaniya-chieftech-atx-750w-a-80-ctg-750c-24-4-4pin-apfc-120mm-fa-1683868/
331,CHIEFTEC SMART GPS-500A8,"ATX, 12V v2.3",500 Вт,120мм,24+4+4 pin,6+2 pin,?,https://www.citilink.ru/product/blok-pitaniya-chieftech-atx-500w-smart-gps-500a8-24-4-4pin-apfc-120mm-1737348/
332,CHIEFTEC Solid GPP-500S,"ATX, 12V v2.3",500 Вт,120мм,24+4+4 pin,6+2 pin,?,https://www.citilink.ru/product/blok-pitaniya-chieftech-atx-500w-solid-gpp-500s-24-4-4pin-apfc-120mm-f-1737320/
333,Aerocool KCAS PLUS 800,?,?,?,?,6+2 pin,?,https://www.citilink.ru/product/blok-pitaniya-aerocool-kcas-plus-800-800vt-120mm-chernyi-retail-kcas-8-M00256431/
334,SEASONIC PRIME PX-1000,?,?,?,?,6+2 pin,?,https://www.citilink.ru/product/blok-pitaniya-seasonic-prime-px-1000-1000vt-135mm-chernyi-retail-ssr-1-M00235199/
335,GMNG PSU-600W-80+,"ATX, 12V v2.3",600 Вт,120мм,24+4+4 pin,2х(6+2) pin,?,https://www.citilink.ru/product/blok-pitaniya-oklik-atx-600w-psu-600w-80-24-4-4pin-120mm-fan-3xsata-rt-1806863/
