,gpuName,G3Dmark,G2Dmark,price,gpuValue,TDP,testDate,category
1619,GeForce GT 220,211,56,39.99,5.28,58.0,2012,Desktop
1620,Radeon HD 2600 PRO,211,337,188.44,1.12,35.0,2011,Desktop
1631,Quadro NVS 290,205,59,59.0,3.47,,2009,Unknown
1632,GeForce 7600 GT,204,101,199.0,1.02,,2009,Desktop
1633,Radeon HD 6380G,204,97,399.99,0.51,35.0,2012,Mobile
1634,GeForce 7950 GX2,202,413,54.99,3.67,,2009,Desktop
1638,Radeon HD 6450,200,120,89.0,2.25,18.0,2011,Desktop
1639,RADEON HD7450,199,215,22.25,8.95,,2014,Unknown
1640,Quadro FX 770M,198,92,527.0,0.38,35.0,2009,Workstation
1652,Quadro FX 1500,190,105,115.01,1.65,65.0,2009,Workstation
1654,GeForce 505,187,587,115.06,1.62,,2013,Unknown
1655,Quadro FX 1600M,186,211,149.9,1.24,50.0,2009,Workstation
1657,Quadro FX 380,186,151,72.5,2.56,34.0,2012,Workstation
1661,FireGL V3600,180,399,160.99,1.12,,2009,Workstation
1662,FirePro 3D V3700,179,466,84.99,2.1,32.0,2011,Workstation
1666,GeForce GT 120,175,91,29.99,5.82,50.0,2009,Desktop
1673,FirePro 2460,170,352,83.99,2.03,17.0,2012,Workstation
1678,Radeon HD 8350,165,233,99.81,1.65,4.4,2013,Desktop
1680,GeForce 8600 GTS,161,35,241.99,0.67,75.0,2012,Desktop
1681,GeForce 315,159,66,32.99,4.83,33.0,2010,Desktop
1682,GeForce 7600 GS,158,55,175.0,0.9,,2012,Desktop
1685,Radeon HD 7340,157,57,552.69,0.28,,2012,Unknown
1686,Quadro FX 570,156,140,115.0,1.36,38.0,2009,Workstation
1688,Quadro FX 580,155,58,130.0,1.19,40.0,2009,Workstation
1694,Radeon HD 3650 AGP,150,155,185.0,0.81,,2011,Unknown
1695,Quadro FX 3450,149,235,119.99,1.24,83.0,2009,Workstation
1698,Radeon HD 6320,148,45,554.99,0.27,45.0,2011,Mobile
1699,FirePro 2270,147,195,134.0,1.1,17.0,2012,Workstation
1700,GeForce G100,147,56,19.99,7.33,,2012,Unknown
1703,Quadro 400,146,67,211.0,0.69,32.0,2011,Workstation
1712,RADEON HD 6350,141,171,59.0,2.39,19.1,2011,Desktop
1720,Radeon HD 5450,138,149,94.96,1.45,19.1,2012,Desktop
1721,GeForce 6600 GT,137,67,64.95,2.11,,2010,Desktop
1722,GeForce 9650M GT,137,62,117.3,1.17,23.0,2009,Mobile
1725,GeForce 7300 GT,135,39,149.99,0.9,,2009,Desktop
1726,GeForce 9500 GT,135,40,85.99,1.57,50.0,2009,Desktop
1728,Mobility Radeon HD 4570,135,26,75.9,1.78,,2011,Mobile
1730,Radeon R5 220,135,112,85.26,1.58,19.0,2015,Desktop
1731,EAH5450,134,216,109.99,1.22,,2017,Unknown
1735,GeForce 9600M GT,132,39,78.2,1.69,23.0,2009,Mobile
1737,Mobility Radeon HD 3650,130,48,73.53,1.77,,2009,Mobile
1742,FireGL V7300,128,322,1189.99,0.11,,2009,Workstation
1744,GeForce 8400 GS,128,32,85.97,1.49,40.0,2012,Desktop
1748,GeForce 9300,127,385,59.0,2.15,,2009,Unknown
1754,Quadro FX 1400,124,152,245.01,0.51,70.0,2011,Workstation
1761,GeForce 310,122,61,108.35,1.12,30.5,2010,Desktop
1762,GeForce 405,122,60,24.64,4.96,,2011,Unknown
1766,Radeon HD 2400,121,298,88.2,1.37,,2012,Unknown
1773,Quadro FX 1700,118,44,350.14,0.34,42.0,2009,Workstation
1774,Radeon HD 3450,118,29,89.0,1.33,25.0,2011,Desktop
1775,FireMV 2260,117,488,88.08,1.33,15.0,2011,Workstation
1776,GeForce 8600 GT,117,63,196.0,0.6,47.0,2012,Desktop
1783,FireGL V5200,115,348,133.4,0.86,,2009,Workstation
1789,NVS 300,114,60,62.97,1.81,17.5,2011,Workstation
1790,Quadro FX 560,114,360,150.25,0.76,30.0,2009,Workstation
1793,GeForce 6800,113,258,559.29,0.2,,2009,Desktop
1799,FireGL V7350,111,344,119.42,0.93,,2011,Workstation
1802,GeForce 9300 GS,111,95,59.95,1.85,,2009,Desktop
1819,GeForce 9400 GT,105,60,159.99,0.66,50.0,2010,Desktop
1822,GeForce 9500M,104,320,101.2,1.02,,2009,Unknown
1828,GeForce G210,103,50,122.12,0.84,,2009,Unknown
1830,Radeon HD 4350,103,34,102.24,1.0,20.0,2012,Desktop
1831,GeForce 8300,102,168,22.68,4.48,,2009,Unknown
1837,GeForce 8400M GS,98,47,78.2,1.25,11.0,2009,Mobile
1838,GeForce 9300GE,98,367,97.2,1.01,,2009,Unknown
1842,Radeon 3000,98,414,319.0,0.31,,2012,Unknown
1844,GeForce 210,97,39,54.92,1.77,30.5,2009,Desktop
1853,FireGL V5100,93,250,114.96,0.81,,2009,Workstation
1860,GeForce 9300M GS,92,33,43.42,2.12,13.0,2009,Mobile
1868,Radeon HD 3470,90,95,109.65,0.82,30.0,2011,Desktop
1870,GeForce 8600M GT,89,42,108.1,0.82,20.0,2011,Mobile
1871,GeForce 6600,88,69,264.0,0.33,,2009,Desktop
1875,ION,86,20,229.99,0.37,,2009,Unknown
1879,Radeon X1650 Pro,85,241,160.89,0.53,44.0,2010,Desktop
1881,GeForce 9300 GE,84,54,22.99,3.66,,2009,Desktop
1883,Quadro FX 370,84,385,125.0,0.67,35.0,2009,Workstation
1896,GeForce 8400,81,160,589.99,0.14,,2009,Unknown
1898,Quadro FX 540,81,294,59.99,1.35,35.0,2009,Workstation
1903,GeForce 7300 LE,78,85,32.0,2.43,,2012,Desktop
1910,Quadro NVS 295,75,73,63.0,1.19,23.0,2009,Workstation
1914,Radeon 3100,74,228,225.99,0.33,,2012,Unknown
1920,FireGL V7100,72,223,328.67,0.22,,2009,Workstation
1931,Quadro NVS 420,70,186,150.0,0.47,,2009,Unknown
1934,Quadro FX 3000,69,178,166.61,0.41,,2009,Workstation
1942,256MB RADEON X600,67,252,160.49,0.42,,2009,Unknown
1946,Radeon X1550,67,253,155.0,0.43,27.0,2009,Desktop
1954,Quadro FX 550,64,325,287.82,0.22,25.0,2009,Workstation
1955,Quadro NVS 450,64,154,159.0,0.4,,2009,Unknown
1963,Radeon 2100,60,286,174.29,0.34,,2009,Unknown
1972,RADEON 9800,58,191,325.0,0.18,,2010,Desktop
1973,Radeon X1300,58,237,95.78,0.61,,2009,Desktop
1987,FirePro 2450,51,482,89.99,0.57,36.0,2010,Workstation
1994,128MB RADEON X600 SE,49,229,56.18,0.87,,2009,Unknown
2006,FireMV 2250,46,290,104.0,0.44,,2009,Unknown
2040,Quadro NVS 285,39,185,169.86,0.23,,2012,Unknown
2044,Quadro NVS 285 128MB,38,313,55.0,0.7,,2009,Unknown
2045,Quadro NVS 440,38,358,228.87,0.16,,2009,Unknown
2051,FireMV 2200 PCIe,36,259,89.99,0.4,,2011,Workstation
2053,Quadro FX 1100,36,178,212.99,0.17,,2009,Workstation
2054,RADEON 9500,36,173,40.5,0.9,,2011,Desktop
2056,GeForce 6200,35,58,99.99,0.35,,2009,Desktop
2060,RADEON 9550,35,145,291.74,0.12,,2009,Desktop
2082,GeForce 6200 LE,31,89,41.24,0.75,,2012,Desktop
2124,GeForce 6150,22,250,329.0,0.07,,2012,Unknown
2165,GeForce FX 5200,8,154,129.0,0.06,,2010,Desktop
2166,GeForce FX 5500,8,152,153.97,0.05,,2009,Desktop
2173,Quadro NVS 280 PCI,8,261,130.0,0.06,,2009,Unknown
2175,GeForce FX 5200LE,7,170,42.99,0.16,,2009,Unknown
2191,GeForce4 Ti 4600,6,173,53.99,0.1,,2009,Desktop
2206,GeForce 256,5,201,42.04,0.12,,2009,Unknown
2226,Quadro4 980 XGL,5,181,341.43,0.01,,2009,Unknown
2237,GeForce 6200A,4,117,54.99,0.07,,2014,Desktop
2253,RADEON 9200,4,135,153.63,0.02,,2009,Desktop
2277,Matrox Parhelia 128MB,3,107,393.99,0.01,,2009,Unknown
2282,RADEON 7200,3,94,599.99,0.0,,2011,Unknown
2283,RADEON 7500,3,35,177.25,0.02,,2012,Desktop
2287,RADEON 9250,3,127,194.0,0.01,,2009,Desktop
2298,Dell 8100,2,58,999.11,0.0,,2012,Unknown
