,gpuName,G3Dmark,G2Dmark,price,gpuValue,TDP,testDate,category
445,Radeon Pro,2615,681,185.35,14.11,,2021,Unknown
450,GeForce GTX 950M,2602,219,567.0,4.59,75.0,2015,Mobile
459,GeForce GT 1030,2545,449,109.99,23.13,30.0,2017,Desktop
466,GeForce GTX 650 Ti,2527,400,93.05,27.16,110.0,2012,Desktop
475,Radeon Pro WX 3200,2456,478,216.99,11.32,65.0,2019,Mobile
477,FirePro 3D V8800,2438,632,424.99,5.74,208.0,2010,Workstation
486,GeForce GTX 580M,2373,455,248.68,9.54,100.0,2011,Mobile
497,FirePro V7900,2310,324,190.0,12.16,150.0,2011,Workstation
498,GeForce MX150,2310,218,59.29,38.97,25.0,2017,Mobile
503,GeForce GTX 460,2289,381,89.99,25.44,150.0,2012,Desktop
508,Radeon HD 6970M,2270,656,215.99,10.51,75.0,2011,Mobile
509,Radeon R7 250X,2269,637,194.0,11.7,95.0,2015,Desktop
511,Radeon HD 5870,2266,410,295.0,7.68,228.0,2012,Desktop
512,Quadro K3100M,2263,327,399.95,5.66,75.0,2013,Workstation
513,Radeon HD 5970,2249,393,179.99,12.5,294.0,2012,Desktop
514,Quadro K620,2246,472,2029.99,1.11,45.0,2014,Workstation
515,FirePro V8800,2223,471,198.0,11.23,,2020,Unknown
517,Radeon HD 6870,2223,397,275.0,8.08,151.0,2012,Desktop
520,Radeon HD 7770,2204,471,300.0,7.35,80.0,2012,Desktop
528,GeForce GTX 745,2175,469,284.95,7.63,55.0,2014,Desktop
537,Radeon RX Vega 11,2137,535,1002.0,2.13,,2018,Desktop
538,Quadro P520,2126,253,1499.0,1.42,,2019,Unknown
543,GeForce GTX 560 SE,2087,413,89.99,23.19,150.0,2012,Desktop
550,FirePro V7800,2034,290,190.0,10.7,,2018,Unknown
557,Quadro M600M,2008,446,251.99,7.97,30.0,2015,"Mobile, Workstation"
559,Radeon R9 350,2007,552,299.0,6.71,60.0,2016,Desktop
561,GeForce GTX 460 v2,2005,459,199.99,10.02,160.0,2011,Desktop
564,Quadro 5000,1982,376,2368.9,0.84,152.0,2010,Workstation
567,Radeon HD 6850,1979,425,85.0,23.29,127.0,2012,Desktop
569,GeForce GTX 460 SE,1974,359,159.99,12.34,150.0,2012,Desktop
571,GeForce GTX 765M,1972,277,186.3,10.59,65.0,2013,Mobile
572,Radeon HD 5850,1966,404,288.99,6.8,151.0,2012,Desktop
573,Radeon R7 450,1966,573,299.0,6.58,65.0,2016,Desktop
577,Radeon 550,1959,501,99.99,19.59,,2022,Unknown
581,Quadro K4000M,1949,351,254.0,7.67,100.0,2012,Workstation
585,Radeon Pro WX 4150,1935,413,612.03,3.16,50.0,2017,Mobile
588,Radeon RX 570X,1923,750,279.99,6.87,120.0,2020,Desktop
597,Quadro 5010M,1891,366,235.95,8.02,100.0,2011,Workstation
600,FirePro 3D V7800,1867,562,599.99,3.11,138.0,2010,Workstation
610,FirePro M6000,1820,776,325.99,5.58,,2012,Workstation
629,GeForce GTX 650,1769,346,109.98,16.08,64.0,2012,Desktop
632,FirePro W600,1752,631,414.99,4.22,75.0,2013,Workstation
635,Radeon HD 5830,1735,382,258.99,6.7,175.0,2012,Desktop
642,Radeon HD 7750,1696,398,99.99,16.97,55.0,2012,Desktop
652,Quadro K3000M,1626,360,407.56,3.99,75.0,2012,Workstation
657,Quadro K2000D,1614,396,339.99,4.75,51.0,2013,Workstation
658,Quadro P400,1614,427,201.17,8.02,30.0,2017,Workstation
659,Radeon HD 6790,1613,370,294.0,5.49,150.0,2011,Desktop
662,FirePro M4000,1597,410,72.83,21.92,,2012,Workstation
664,Radeon Vega 8,1593,421,126.86,12.56,,2018,"Desktop, Mobile"
669,Quadro K2000,1567,371,294.0,5.33,51.0,2013,Workstation
671,GeForce GTX 550 Ti,1557,363,99.99,15.57,116.0,2012,Desktop
678,GeForce GTX 285,1550,117,119.99,12.92,204.0,2009,Desktop
681,FirePro W4100,1541,535,184.0,8.38,50.0,2014,Workstation
