,name,count,capacity,freq,timings,formFactor,type,price,link,value
0,Kingston Fury Beast Black KF432C16BBK2/16 ,2,8,3200,16-18-18,"DIMM, 288-pin",DDR4 ,4390,https://www.citilink.ru/product/pamyat-ddr4-2x8gb-3200mhz-kingston-kf432c16bbk2-16-rtl-pc4-25600-cl16-1560200/,0.7307517084282461
1,Patriot Signature PSD48G266681 ,1,8,2666,19-19-19-43,"DIMM, 288-pin",DDR4 ,1490,https://www.citilink.ru/product/modul-pamyati-patriot-signature-psd48g266681-ddr4-8gb-2666-dimm-ret-1083963/,1.7946308724832214
2,Kingston Fury Beast Black KF432C16BB/8 ,1,8,3200,16-18-18,"DIMM, 288-pin",DDR4 ,2190,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-kingston-kf432c16bb-8-rtl-pc4-25600-cl16-dimm-1560197/,1.4648401826484017
4,AMD R538G1601S2S-U ,1,8,1600,11-11-11-28,"SO-DIMM, 204-pin",DDR3 ,1190,https://www.citilink.ru/product/pamyat-ddr3-8gb-1600mhz-amd-r538g1601s2s-u-oem-pc3-12800-cl11-so-dimm-1777085/,1.3512605042016808
5,Patriot Signature PSD48G266681S ,1,8,2666,19-19-19-43,"SO-DIMM, 260-pin",DDR4 ,1590,https://www.citilink.ru/product/modul-pamyati-patriot-signature-psd48g266681s-ddr4-8gb-2666-so-dimm-re-1147804/,1.6817610062893082
6,AMD Radeon R7 Performance Series R748G2606U2S-U ,1,8,2666,16-18-18-35,"DIMM, 288-pin",DDR4 ,1490,https://www.citilink.ru/product/modul-pamyati-amd-radeon-r7-performance-series-r748g2606u2s-uo-ddr4-8g-333705/,1.7946308724832214
7,Kingston Fury Beast Black KF432C16BB/16 ,1,16,3200,16-20-20,"DIMM, 288-pin",DDR4 ,3990,https://www.citilink.ru/product/pamyat-ddr4-16gb-3200mhz-kingston-kf432c16bb-16-fury-beast-black-rtl-p-1790357/,0.806015037593985
8,Patriot Signature PSD48G320081 ,1,8,3200,22-22-22-52,"DIMM, 288-pin",DDR4 ,1590,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-patriot-psd48g320081-rtl-pc4-23400-cl19-dimm-2-1422046/,2.0176100628930818
9,Digma DGMAS31600008D ,1,8,1600,11-11-11-28,"SO-DIMM, 204-pin",DDR3L,1290,https://www.citilink.ru/product/pamyat-ddr3-8gb-1600mhz-digma-dgmas31600008d-rtl-pc3-12800-cl11-so-dim-1784244/,1.2465116279069768
10,Kingston Fury Beast Black RGB KF436C17BBAK2/16 ,2,8,3600,17-21-21,"DIMM, 288-pin",DDR4 ,4990,https://www.citilink.ru/product/pamyat-ddr4-2x8gb-3600mhz-kingston-kf436c17bbak2-16-fury-beast-black-r-1633457/,0.7230460921843688
11,Patriot PSD34G16002 ,1,4,1600,11-11-11,"DIMM, 240-pin",DDR3 ,950,https://www.citilink.ru/product/modul-pamyati-patriot-psd34g16002-ddr3-4gb-1600-dimm-ret-740727/,1.6884210526315788
12,AMD R534G1601S1S-UG ,1,4,1600,11-11-11-28,"SO-DIMM, 204-pin",DDR3 ,890,https://www.citilink.ru/product/pamyat-ddr3-4gb-1600mhz-amd-r534g1601s1s-ug-rtl-pc3-12800-cl11-so-dimm-1777076/,1.8022471910112359
13,Patriot Viper Steel PVS416G320C6K ,2,8,3200,16-20-20-40,"DIMM, 288-pin",DDR4 ,3990,https://www.citilink.ru/product/modul-pamyati-patriot-viper-steel-pvs416g320c6k-ddr4-2x-8gb-3200-dimm-1134491/,0.8040100250626566
14,Patriot PSD34G160081S ,1,4,1600,11-11-11,"SO-DIMM, 204-pin",DDR3 ,950,https://www.citilink.ru/product/modul-pamyati-patriot-psd34g160081s-ddr3-4gb-1600-so-dimm-ret-352757/,1.6884210526315788
15,Kingston Fury Beast KF432C16BB1K2/32 ,2,16,3200,16-18-18,"DIMM, 288-pin",DDR4 ,7990,https://www.citilink.ru/product/pamyat-ddr4-2x16gb-3200mhz-kingston-kf432c16bb1k2-32-fury-beast-rtl-pc-1783697/,0.40250312891113893
16,AMD Radeon R9 Gamer Series R948G3206U2S-U ,1,8,3200,16-18-18-39,"DIMM, 288-pin",DDR4 ,1490,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-amd-r948g3206u2s-u-rtl-gaming-pc4-21300-cl16-l-1548843/,2.153020134228188
17,Kingston Fury Beast RGB KF432C16BBAK2/32 ,2,16,3200,16-20-20,"DIMM, 288-pin",DDR4 ,8290,https://www.citilink.ru/product/pamyat-ddr4-2x16gb-3200mhz-kingston-kf432c16bbak2-32-fury-beast-rgb-rt-1808886/,0.3879372738238842
18,A-Data AD4U32008G22-SGN ,1,8,3200,22-22-22,"DIMM, 288-pin",DDR4 ,1590,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-a-data-ad4u32008g22-sgn-rtl-pc4-25600-cl22-dim-1738816/,2.0176100628930818
19,Kingston Fury Beast Black KF432C16BBK2/32 ,2,16,3200,16-20-20,"DIMM, 288-pin",DDR4 ,7990,https://www.citilink.ru/product/pamyat-ddr4-2x16gb-3200mhz-kingston-kf432c16bbk2-32-rtl-pc4-25600-cl16-1561158/,0.40250312891113893
