,name,formFactor,socket,chipset,ramType,ramSlots,ramFreq,maxRam,powerPin,price,link
118,ASUS PRIME H610M-A WIFI D4,mATX,LGA 1700,Intel H610,DDR4 ,2,3200,64,24+8 ,9990,https://www.citilink.ru/product/materinskaya-plata-asus-prime-h610m-a-wifi-d4-soc-1700-intel-h610-2xdd-1859451/
119,ASROCK Z690M PHANTOM GAMING 4,mATX,LGA 1700,Intel Z690,DDR4 ,4,3200,128,24+8+4 ,15930,https://www.citilink.ru/product/materinskaya-plata-asrock-z690m-phantom-gaming-4-soc-1700-intel-z690-4-1658946/
120,ASUS ROG STRIX Z690-F GAMING WIFI,ATX,LGA 1700,Intel Z690,DDR5 ,4,4800,128,24+8+8 ,33990,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-z690-f-gaming-wifi-soc-1700-intel-z6-1613521/
121,ASUS PRIME Z690-P D4-CSM,ATX,LGA 1700,Intel Z690,DDR4 ,4,3200,128,24+8+4 ,17990,https://www.citilink.ru/product/materinskaya-plata-asus-prime-z690-p-d4-csm-soc-1700-intel-z690-4xddr4-1808421/
122,MSI MPG Z690 FORCE WIFI,ATX,LGA 1700,Intel Z690,DDR5 ,4,5600,128,24+8+8 ,34990,https://www.citilink.ru/product/materinskaya-plata-msi-mpg-z690-force-wifi-soc-1700-intel-z690-4xddr5-1845408/
123,GIGABYTE B650 AORUS ELITE AX,ATX,AM5,AMD B650,DDR5 ,4,5200,128,24+8+4 ,22990,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b650-aorus-elite-ax-socketam5-amd-b650-4xd-1874208/
124,MSI PRO Z690-A WIFI,ATX,LGA 1700,Intel Z690,DDR5 ,4,4800,128,24+8+8 ,18990,https://www.citilink.ru/product/materinskaya-plata-msi-pro-z690-a-wifi-soc-1700-intel-z690-4xddr5-atx-1622866/
125,MSI MPG B550 GAMING PLUS,ATX,AM4,AMD B550,DDR4 ,4,3200,128,24+8 ,12990,https://www.citilink.ru/product/materinskaya-plata-msi-mpg-b550-gaming-plus-soc-am4-amd-b550-4xddr4-at-1410230/
126,ASUS ROG STRIX Z590-F GAMING WIFI,ATX,LGA 1200,Intel Z590,DDR4 ,4,3200,128,24+8+4 ,23990,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-z590-f-gaming-wifi-lga-1200-intel-z5-1471253/
127,ASUS TUF GAMING B550-PLUS,ATX,AM4,AMD B550,DDR4 ,4,3200,128,24+8 ,16990,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-b550-plus-soc-am4-amd-b550-4xddr4-a-1384331/
128,MSI B560M PRO WIFI,mATX,LGA 1200,Intel B560,DDR4 ,2,3200,64,24+8 ,10590,https://www.citilink.ru/product/materinskaya-plata-msi-b560m-pro-wifi-soc-1200-intel-b560-2xddr4-matx-1846085/
129,ASUS PRIME B650-PLUS,ATX,AM5,AMD B650,DDR5 ,4,5200,128,24+8 ,17790,https://www.citilink.ru/product/materinskaya-plata-asus-prime-b650-plus-socketam5-amd-b650-4xddr5-atx-1874985/
130,ASROCK B560M PRO4,mATX,LGA 1200,Intel B560,DDR4 ,4,2933,128,24+8 ,10490,https://www.citilink.ru/product/materinskaya-plata-asrock-b560m-pro4-soc-1200-intel-b560-4xddr4-matx-a-1485303/
131,ASUS ROG MAXIMUS Z690 HERO,ATX,LGA 1700,Intel Z690,DDR5 ,4,4800,128,24+8+8 ,50990,https://www.citilink.ru/product/materinskaya-plata-asus-rog-maximus-z690-hero-soc-1700-intel-z690-4xdd-1622849/
132,ASUS PRIME A320M-C R2.0,mATX,AM4,AMD A320,DDR4 ,2,2666,32,24+4 ,7990,https://www.citilink.ru/product/materinskaya-plata-asus-prime-a320m-c-r2-0-socketam4-amd-a320-matx-ret-1083553/
133,ASUS PRIME B550M-A/CSM,mATX,AM4,AMD B550,DDR4 ,4,3200,128,24+8 ,11990,https://www.citilink.ru/product/materinskaya-plata-asus-prime-b550m-a-csm-soc-am4-amd-b550-4xddr4-matx-1844925/
134,GIGABYTE B760M GAMING X DDR4,mATX,LGA 1700,Intel B760,DDR4 ,4,3200,128,24+8 ,12590,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b760m-gaming-x-ddr4-soc-1700-intel-b760-4x-1893598/
135,ASUS ROG STRIX Z690-E GAMING WIFI,ATX,LGA 1700,Intel Z690,DDR5 ,4,4800,128,24+8+8 ,41990,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-z690-e-gaming-wifi-soc-1700-intel-z6-1629465/
136,MSI MAG H670 TOMAHAWK WIFI DDR4,ATX,LGA 1700,Intel H670,DDR4 ,4,3200,128,24+8+8 ,18990,https://www.citilink.ru/product/materinskaya-plata-msi-mag-h670-tomahawk-wifi-ddr4-soc-1700-intel-h670-1860269/
137,MSI MAG B560M MORTAR,mATX,LGA 1200,Intel B560,DDR4 ,4,2933,128,24+8+4 ,11990,https://www.citilink.ru/product/materinskaya-plata-msi-mag-b560m-mortar-soc-1200-intel-b560-4xddr4-mat-1546427/
138,ASUS ROG STRIX B650E-F GAMING WIFI,ATX,AM5,AMD B650,DDR5 ,4,5200,128,24+8+4 ,27790,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-b650e-f-gaming-wifi-socketam5-amd-b6-1874992/
139,GIGABYTE A520M K V2,mATX,AM4,AMD A520,DDR4 ,2,3200,32,24+8 ,5790,https://www.citilink.ru/product/materinskaya-plata-gigabyte-a520m-k-v2-soc-am4-amd-a520-2xddr4-matx-ac-1901201/
140,ASROCK Z690 PHANTOM GAMING 4,ATX,LGA 1700,Intel Z690,DDR4 ,4,3200,128,24+8+4 ,14990,https://www.citilink.ru/product/materinskaya-plata-asrock-z690-phantom-gaming-4-soc-1700-intel-z690-4x-1646543/
141,ASUS TUF GAMING B560M-E,mATX,LGA 1200,Intel B560,DDR4 ,4,3200,128,24+8 ,15480,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-b560m-e-soc-1200-intel-b560-4xddr4-1538716/
142,GIGABYTE Z790 GAMING X,ATX,LGA 1700,Intel Z790,DDR5 ,4,4800,128,24+8+8 ,22990,https://www.citilink.ru/product/materinskaya-plata-gigabyte-z790-gaming-x-soc-1700-intel-z790-atx-ac-9-1893612/
143,GIGABYTE B760 GAMING X AX DDR4,ATX,LGA 1700,Intel B760,DDR4 ,4,3200,128,24+8 ,15590,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b760-gaming-x-ax-ddr4-soc-1700-intel-b760-1884260/
144,ASUS ROG STRIX B550-F GAMING,ATX,AM4,AMD B550,DDR4 ,4,3200,128,24+8+4 ,17990,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-b550-f-gaming-socketam4-amd-b550-atx-1386510/
145,ASUS PRIME A520M-A II,mATX,AM4,AMD A520,DDR4 ,4,3200,128,24+8 ,7990,https://www.citilink.ru/product/materinskaya-plata-asus-prime-a520m-a-ii-soc-am4-amd-a520-4xddr4-matx-1521351/
146,ASUS ROG STRIX B560-G GAMING WIFI,mATX,LGA 1200,Intel B560,DDR4 ,4,3200,128,24 ,14990,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-b560-g-gaming-wifi-soc-1200-intel-b5-1490716/
147,GIGABYTE B760M AORUS ELITE AX,mATX,LGA 1700,Intel B760,DDR5 ,4,4800,128,24+8+4 ,16990,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b760m-aorus-elite-ax-soc-1700-intel-b760-4-1884425/
148,ASUS TUF GAMING B650-PLUS,ATX,AM5,AMD B650,DDR5 ,4,5200,128,24+8+4 ,21990,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-b650-plus-socketam5-amd-b650-4xddr5-1871411/
149,ASROCK B560M-HDV R2.0,mATX,LGA 1200,Intel B560,DDR4 ,2,2933,64,24+8 ,6990,https://www.citilink.ru/product/materinskaya-plata-asrock-b560m-hdv-r2-0-soc-1200-intel-b560-2xddr4-ma-1650336/
150,MSI MAG B560M MORTAR WIFI,mATX,LGA 1200,Intel B560,DDR4 ,4,2933,128,24+8+4 ,12190,https://www.citilink.ru/product/materinskaya-plata-msi-mag-b560m-mortar-wifi-soc-1200-intel-b560-4xddr-1546429/
151,GIGABYTE Z690 AORUS MASTER,eATX,LGA 1700,Intel Z690,DDR5 ,4,4800,128,24+8 ,33990,https://www.citilink.ru/product/materinskaya-plata-gigabyte-z690-aorus-master-soc-1700-intel-z690-4xdd-1618777/
152,ASUS TUF GAMING X570-PLUS (WI-FI),ATX,AM4,AMD X570,DDR4 ,4,2666,128,24+8+4 ,22190,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-x570-plus-wi-fi-socketam4-amd-x570-1160509/
153,ASROCK B660M STEEL LEGEND,mATX,LGA 1700,Intel B660,DDR4 ,4,3200,128,24+8 ,12990,https://www.citilink.ru/product/materinskaya-plata-asrock-b660m-steel-legend-soc-1700-intel-b660-4xddr-1714408/
154,ASUS TUF GAMING Z690-PLUS,ATX,LGA 1700,Intel Z690,DDR5 ,4,4800,128,24+8+4 ,24990,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-z690-plus-soc-1700-intel-z690-4xddr-1806650/
155,GIGABYTE Z790 UD,ATX,LGA 1700,Intel Z790,DDR5 ,4,4800,128,24+8+8 ,21490,https://www.citilink.ru/product/materinskaya-plata-gigabyte-z790-ud-soc-1700-intel-z790-4xddr5-atx-ac-1891999/
156,ASUS ROG STRIX B650E-E GAMING WIFI,ATX,AM5,AMD B650,DDR5 ,4,4800,128,24+8+8 ,32990,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-b650e-e-gaming-wifi-socketam5-amd-b6-1871405/
157,ASUS TUF GAMING B550M-PLUS WIFI II,mATX,AM4,AMD B550,DDR4 ,4,3200,128,24+8 ,15990,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-b550m-plus-wifi-ii-soc-am4-amd-b550-1742920/
158,ASUS PRIME X670-P,ATX,AM5,AMD X670,DDR5 ,4,5200,128,24+8+4 ,26990,https://www.citilink.ru/product/materinskaya-plata-asus-prime-x670-p-socketam5-amd-x670-4xddr5-atx-ac-1875012/
159,MSI MPG Z690 CARBON WIFI,ATX,LGA 1700,Intel Z690,DDR5 ,4,4800,128,24+8+8 ,34990,https://www.citilink.ru/product/materinskaya-plata-msi-mpg-z690-carbon-wifi-soc-1700-intel-z690-4xddr5-1622860/
160,ASUS ROG STRIX Z690-A GAMING WIFI D4,ATX,LGA 1700,Intel Z690,DDR4 ,4,3200,128,24+8+8 ,29990,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-z690-a-gaming-wifi-d4-soc-1700-intel-1623291/
161,ASUS TUF GAMING B650-PLUS WIFI,ATX,AM5,AMD B650,DDR5 ,4,5200,128,24+8+4 ,22990,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-b650-plus-wifi-socketam5-amd-b650-4-1871413/
162,ASUS PRIME Z790-P,ATX,LGA 1700,Intel Z790,DDR5 ,4,4800,128,24+8+4 ,24990,https://www.citilink.ru/product/materinskaya-plata-asus-prime-z790-p-soc-1700-intel-z790-4xddr5-atx-ac-1878005/
163,ASUS ROG MAXIMUS Z690 FORMULA,ATX,LGA 1700,Intel Z690,DDR5 ,4,4800,128,24+8+8 ,56990,https://www.citilink.ru/product/materinskaya-plata-asus-rog-maximus-z690-formula-soc-1700-intel-z690-4-1646232/
164,GIGABYTE Z790 UD AX,ATX,LGA 1700,Intel Z790,DDR5 ,4,4800,128,24+8+8 ,20890,https://www.citilink.ru/product/materinskaya-plata-gigabyte-z790-ud-ax-soc-1700-intel-z790-4xddr5-atx-1892010/
165,ASROCK X570 PHANTOM GAMING 4,ATX,AM4,AMD X570,DDR4 ,4,3200,128,24+8 ,14590,https://www.citilink.ru/product/materinskaya-plata-asrock-x570-phantom-gaming-4-socketam4-amd-x570-atx-1169423/
166,ASUS ROG STRIX B650-A GAMING WIFI,ATX,AM5,AMD B650,DDR5 ,4,5200,128,24+8+4 ,25990,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-b650-a-gaming-wifi-socketam5-amd-b65-1871414/
167,ASUS ROG CROSSHAIR X670E HERO,ATX,AM5,AMD X670,DDR5 ,4,5200,128,24+8+8 ,54990,https://www.citilink.ru/product/materinskaya-plata-asus-rog-crosshair-x670e-hero-socketam5-amd-x670-at-1875015/
168,ASUS PRO H610M-C D4-CSM,mATX,LGA 1700,Intel H610,DDR4 ,2,3200,64,24+8 ,9390,https://www.citilink.ru/product/materinskaya-plata-asus-pro-h610m-c-d4-csm-soc-1700-intel-h610-2xddr4-1837210/
169,ASUS TUF GAMING B650M-PLUS WIFI,mATX,AM5,AMD B650,DDR5 ,4,5200,128,24+8+4 ,20990,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-b650m-plus-wifi-socketam5-amd-b650-1874988/
170,GIGABYTE B760M DS3H AX DDR4,mATX,LGA 1700,Intel B760,DDR4 ,4,3200,128,24+8 ,11990,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b760m-ds3h-ax-ddr4-soc-1700-intel-b760-4xd-1893267/
171,ASUS ROG STRIX X670E-E GAMING WIFI,ATX,AM5,AMD X670,DDR5 ,4,4800,128,24+8+8 ,48990,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-x670e-e-gaming-wifi-socketam5-amd-x6-1868091/
172,ASUS ROG MAXIMUS Z690 HERO EVA,ATX,LGA 1700,Intel Z690,DDR5 ,4,4800,128,24+8+8 ,49990,https://www.citilink.ru/product/materinskaya-plata-asus-rog-maximus-z690-hero-eva-soc-1700-intel-z690-1837205/
173,ASUS PRIME H510M-E,mATX,LGA 1200,Intel H510,DDR4 ,2,2933,64,24+8 ,7390,https://www.citilink.ru/product/materinskaya-plata-asus-prime-h510m-e-soc-1200-intel-h510-2xddr4-matx-1495440/
174,ASUS PRIME Z590-A,ATX,LGA 1200,Intel Z590,DDR4 ,4,3200,128,24+8+4 ,21990,https://www.citilink.ru/product/materinskaya-plata-asus-prime-z590-a-lga-1200-intel-z590-atx-ret-1471259/
175,ASUS PRIME Z790-A WIFI,ATX,LGA 1700,Intel Z790,DDR5 ,4,5600,128,24+8+8 ,30990,https://www.citilink.ru/product/materinskaya-plata-asus-prime-z790-a-wifi-soc-1700-intel-z790-4xddr5-a-1877983/
176,ASUS PRIME H610M-E D4,mATX,LGA 1700,Intel H610,DDR4 ,2,3200,64,24+8 ,8390,https://www.citilink.ru/product/materinskaya-plata-asus-prime-h610m-e-d4-soc-1700-intel-h610-2xddr4-ma-1669373/
177,ASUS PRIME H510M-D,mATX,LGA 1200,Intel H510,DDR4 ,2,2933,64,24+8 ,7390,https://www.citilink.ru/product/materinskaya-plata-asus-prime-h510m-d-soc-1200-intel-h510-2xddr4-matx-1495235/
178,ASUS PRIME X670E-PRO WIFI,ATX,AM5,AMD X670,DDR5 ,4,5200,128,24+8+8 ,34990,https://www.citilink.ru/product/materinskaya-plata-asus-prime-x670e-pro-wifi-socketam5-amd-x670-4xddr5-1875003/
179,ASUS ROG STRIX X670E-F GAMING WIFI,ATX,AM5,AMD X670,DDR5 ,4,5200,128,24+8+8 ,41990,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-x670e-f-gaming-wifi-socketam5-amd-x6-1877974/
180,ASUS ROG STRIX Z590-E GAMING WIFI,ATX,LGA 1200,Intel Z590,DDR4 ,4,3200,128,24+8+4 ,28790,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-z590-e-gaming-wifi-lga-1200-intel-z5-1471251/
181,MSI MAG Z690M MORTAR WIFI,mATX,LGA 1700,Intel Z690,DDR5 ,4,5600,128,24+8+8 ,31090,https://www.citilink.ru/product/materinskaya-plata-msi-mag-z690m-mortar-wifi-soc-1700-intel-z690-4xddr-1860278/
182,ASROCK Z690 STEEL LEGEND,ATX,LGA 1700,Intel Z690,DDR4 ,4,3200,128,24+8+8 ,20080,https://www.citilink.ru/product/materinskaya-plata-asrock-z690-steel-legend-soc-1700-intel-z690-4xddr4-1633395/
183,ASUS PRIME Z790-P WIFI D4,ATX,LGA 1700,Intel Z790,DDR4 ,4,3200,128,24+8+4 ,23990,https://www.citilink.ru/product/materinskaya-plata-asus-prime-z790-p-wifi-d4-soc-1700-intel-z790-4xddr-1868468/
184,MSI PRO H610M-B DDR4,mATX,LGA 1700,Intel H610,DDR4 ,2,3200,64,24 ,8950,https://www.citilink.ru/product/materinskaya-plata-msi-pro-h610m-b-ddr4-soc-1700-intel-h610-2xddr4-mat-1770796/
185,ASUS PROART B550-CREATOR,ATX,AM4,AMD B550,DDR4 ,4,3200,128,24+8+4 ,27420,https://www.citilink.ru/product/materinskaya-plata-asus-proart-b550-creator-soc-am4-amd-b550-4xddr4-at-1691996/
186,ASUS TUF GAMING Z790-PLUS D4,ATX,LGA 1700,Intel Z790,DDR4 ,4,3200,128,24+8+4 ,27990,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-z790-plus-d4-soc-1700-intel-z790-4x-1868488/
187,ASROCK X570 PRO4,ATX,AM4,AMD X570,DDR4 ,4,3200,128,24+8 ,14190,https://www.citilink.ru/product/materinskaya-plata-asrock-x570-pro4-socketam4-amd-x570-atx-ret-1161974/
188,ASROCK H570M PRO4,mATX,LGA 1200,Intel H570,DDR4 ,4,2933,128,24+8+4 ,10990,https://www.citilink.ru/product/materinskaya-plata-asrock-h570m-pro4-soc-1200-intel-h570-4xddr4-matx-a-1485311/
189,ASUS PRIME Z790-P D4,ATX,LGA 1700,Intel Z790,DDR4 ,4,3200,128,24+8+4 ,20990,https://www.citilink.ru/product/materinskaya-plata-asus-prime-z790-p-d4-soc-1700-intel-z790-4xddr4-atx-1868472/
190,ASUS PRIME X670-P WIFI,ATX,AM5,AMD X670,DDR5 ,4,4800,128,24+8+4 ,28990,https://www.citilink.ru/product/materinskaya-plata-asus-prime-x670-p-wifi-socketam5-amd-x670-4xddr5-at-1881862/
191,ASUS PRIME B650M-A,mATX,AM5,AMD B650,DDR5 ,4,4800,128,24+8 ,16990,https://www.citilink.ru/product/materinskaya-plata-asus-prime-b650m-a-socketam5-amd-b650-4xddr5-matx-a-1885932/
